N,P,K
01570,4198,808
0122,200,253
0122,200,253
0122,200,253
0122,199,253
0122,200,253
0122,200,253
0122,199,253
0122,199,252
0122,199,252
0122,199,253
0122,199,253
0122,199,252
0122,199,252
0122,199,252
0122,199,252
0122,199,252
0122,199,252
0122,199,252
0122,199,252
0122,199,252
Light Source Color - WHITE, 27/03/2024,12:12:26
1122,199,252
148670,41002,36297
148550,40855,35985
148476,40765,35841
148427,40706,35740
148451,40693,35696
148416,40650,35620
148374,40610,35555
148337,40575,35494
148308,40546,35437
148343,40545,35410
148310,40515,35356
148277,40488,35307
148241,40461,35259
148219,40437,35211
148263,40442,35191
148241,40418,35147
148210,40395,35101
148183,40372,35060
148151,40349,35018
148191,40353,34998
148163,40334,34960
Light Source Color - OFF, 27/03/2024,12:12:50
248142,40313,34919
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
2122,199,252
Light Source Color - RED, 27/03/2024,12:13:14
3122,199,252
33772,1910,32396
33800,1919,32575
33796,1917,32522
33794,1915,32491
33793,1914,32480
33791,1913,32462
33791,1913,32448
33789,1912,32435
33789,1911,32424
33788,1911,32418
33788,1911,32409
33787,1910,32399
33786,1909,32388
33785,1909,32381
33785,1909,32379
33785,1908,32371
33784,1908,32361
33783,1908,32353
33783,1907,32344
33783,1907,32342
33782,1906,32333
33782,1906,32325
Light Source Color - OFF, 27/03/2024,12:13:39
43781,1906,32317
4655,448,4917
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,253
4122,199,253
4122,199,252
4122,199,252
4122,199,253
4122,199,252
4122,199,252
4122,199,252
4122,199,252
4122,199,252
Light Source Color - GREEN, 27/03/2024,12:14:03
5122,199,252
510915,29497,4087
510874,29412,4082
510853,29368,4079
510846,29354,4079
510834,29331,4077
510826,29314,4077
510820,29303,4076
510815,29291,4075
510813,29287,4075
510808,29279,4075
510806,29273,4074
510803,29268,4074
510800,29261,4074
510799,29259,4074
510796,29252,4073
510794,29247,4073
510791,29241,4072
510791,29241,4072
510789,29237,4072
510786,29231,4072
510785,29230,4072
510783,29225,4072
Light Source Color - OFF, 27/03/2024,12:14:28
610782,29223,4071
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
6122,199,252
Light Source Color - BLUE, 27/03/2024,12:14:52
7122,199,252
735563,10830,704
735555,10832,704
735574,10839,705
735576,10841,705
735559,10837,704
735558,10837,704
735555,10836,704
735568,10841,704
735567,10841,704
735554,10837,704
735549,10837,704
735562,10840,704
735564,10842,704
735558,10840,704
735555,10839,704
735549,10837,704
735563,10842,704
735561,10841,704
735557,10840,704
735553,10840,704
735549,10839,704
735567,10844,704
Light Source Color - OFF, 27/03/2024,12:15:17
835561,10842,704
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
8122,199,252
Light Source Color - WHITE, 27/03/2024,12:15:41
9122,199,252
948449,40769,35788
948436,40715,35653
948365,40623,35490
948306,40556,35385
948251,40504,35302
948212,40463,35233
948243,40458,35204
948218,40427,35147
948190,40402,35096
948160,40371,35044
948132,40348,34997
948168,40351,34977
948140,40326,34930
948113,40302,34888
948080,40281,34846
948056,40261,34806
948091,40262,34788
948073,40246,34748
948055,40225,34709
948024,40204,34670
947999,40185,34635
Light Source Color - OFF, 27/03/2024,12:16:05
1048033,40188,34617
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
10122,199,252
