Color,Mean,Std Deviation
Black,6.058095238095238,0.2086480615904259
Blue,332.19222222222214,0.7998974802035466
Green,197.7084126984127,0.5603170427754123
Red,339.99492063492056,0.7927421555944002
White,821.5341269841272,0.9151620599325352
Black,3.891538461538461,0.1314638950656514
Blue,27.092380952380942,0.2326715591166413
Green,59.76301587301588,0.3386084859053826
Red,55.74126984126984,0.4023403621062745
White,135.05523809523805,0.5403954208580573
Black,3.971904761904762,0.1338340936602118
Blue,22.472820512820512,0.2213435243285569
Green,55.32206349206349,0.3694900427567194
Red,50.4047619047619,0.5489484012753072
White,120.36190476190475,0.4035797061338819
Black,4.076190476190476,0.1577369721433513
Blue,36.109047619047615,0.3267860395522706
Green,75.81460317460318,0.5548413614718669
Red,79.89777777777778,0.573256336125944
White,183.68571428571428,1.319019376401392
Black,3.887142857142857,0.1170644336792906
Blue,36.37095238095239,0.4751512469551081
Green,66.56873015873015,0.4646534969845975
Red,73.61904761904763,0.3194382824999696
White,168.6492063492064,1.242876256358186
