Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
11,Blue,333.3,26.7,22.4,26.7,22.4,36.0,36.85,36.0,36.85,333.3
11,Green,196.45,59.95,55.05,59.95,55.05,75.75,66.75,75.75,66.75,196.45
11,Red,340.1904761904762,55.523809523809526,50.523809523809526,55.523809523809526,50.523809523809526,79.61904761904762,74.19047619047619,79.61904761904762,74.19047619047619,340.1904761904762
11,White,820.952380952381,135.42857142857142,119.76190476190476,135.42857142857142,119.76190476190476,184.3809523809524,168.42857142857142,184.38095238095238,168.42857142857142,820.952380952381
12,Black,6.05,4.1,3.9,4.1,3.9,4.35,3.95,4.35,3.95,6.05
12,Blue,332.7,27.2,22.05,27.2,22.05,35.45,36.6,35.45,36.6,332.7
12,Green,197.65,59.75,55.95,59.75,55.95,76.35,67.55,76.35,67.55,197.65
12,Red,340.6190476190476,55.57142857142857,50.0,55.57142857142857,50.0,79.38095238095238,73.52380952380952,79.38095238095238,73.52380952380952,340.6190476190476
12,White,821.5714285714286,134.9047619047619,120.66666666666669,134.9047619047619,120.66666666666667,184.52380952380952,168.61904761904762,184.52380952380952,168.61904761904762,821.5714285714286
13,Black,5.75,3.8,4.15,3.8,4.15,4.05,4.1,4.05,4.1,5.75
13,Blue,331.9,27.15,22.3,27.15,22.3,35.7,36.15,35.7,36.15,331.9
13,Green,198.0,59.6,55.65,59.6,55.65,74.9,66.9,74.9,66.9,198.0
13,Red,340.42857142857144,55.76190476190476,51.23809523809524,55.76190476190476,51.23809523809524,80.57142857142857,73.42857142857143,80.57142857142857,73.42857142857143,340.42857142857144
13,White,823.952380952381,134.66666666666666,120.85714285714286,134.66666666666666,120.85714285714286,184.28571428571428,168.0952380952381,184.28571428571428,168.0952380952381,823.952380952381
14,Black,5.75,4.05,4.2,4.05,4.2,3.8,3.85,3.8,3.85,5.75
14,Blue,331.55,26.7,22.45,26.7,22.45,36.0,35.8,36.0,35.8,331.55
14,Green,198.25,59.45,55.05,59.45,55.05,75.4,67.15,75.4,67.15,198.25
14,Red,339.6190476190476,55.80952380952381,50.142857142857146,55.80952380952381,50.142857142857146,79.0,73.66666666666667,79.0,73.66666666666667,339.6190476190476
14,White,821.8095238095239,135.23809523809524,120.0952380952381,135.23809523809524,120.0952380952381,183.8571428571429,168.95238095238096,183.85714285714286,168.95238095238096,821.8095238095239
15,Black,6.071428571428571,3.923076923076923,3.928571428571429,3.923076923076923,3.9285714285714284,4.142857142857143,3.857142857142857,4.142857142857143,3.857142857142857,6.071428571428571
15,Blue,331.3333333333333,26.785714285714285,22.692307692307693,26.785714285714285,22.692307692307693,35.785714285714285,35.214285714285715,35.785714285714285,35.214285714285715,331.3333333333333
