RED_5  :  Time_24ms. Gain_1X
Light Source Color - OFF
N,P,K
1, 3,5,6
2, 3,5,6
3, 3,5,6
4, 3,5,6
Light Source Color - BLUE	 , 08/05/2024,11:35:51
1, 52,21,7
Light Source Color - BLUE	 , 08/05/2024,11:35:52
1, 52,21,7
2, 52,21,7
3, 52,21,7
4, 52,21,7
5, 52,21,7
6, 52,21,7
7, 52,21,7
8, 52,21,7
9, 52,21,7
10, 52,21,7
11, 52,21,7
12, 52,21,7
13, 52,21,7
14, 52,21,7
15, 52,21,7
16, 52,21,7
17, 52,21,7
18, 52,21,7
19, 52,21,7
20, 52,21,7
21, 52,21,7
22, 52,21,7
23, 52,21,7
24, 52,21,7
25, 52,21,7
26, 52,21,7
27, 52,21,7
28, 52,21,7
29, 52,21,7
30, 52,21,7
31, 52,21,7
32, 52,21,7
33, 52,21,7
Light Source Color - GREEN	 , 08/05/2024,11:36:04
1, 18,47,13
2, 17,47,13
3, 17,47,13
4, 17,47,13
5, 17,47,13
6, 17,47,13
7, 17,47,13
8, 17,47,13
9, 17,47,13
10, 17,47,13
11, 17,47,13
12, 17,47,13
13, 17,47,13
14, 17,47,13
15, 17,47,13
16, 17,47,13
17, 17,47,13
18, 17,47,13
19, 17,47,13
20, 17,47,13
21, 17,47,13
22, 17,47,13
23, 17,47,13
24, 17,47,13
25, 17,47,13
26, 17,47,13
27, 17,47,13
28, 17,47,13
29, 17,47,13
30, 17,47,13
31, 17,47,13
32, 17,47,13
33, 17,47,13
34, 17,47,13
35, 17,47,13
36, 17,47,13
37, 17,47,13
38, 17,47,13
39, 17,47,13
40, 17,47,13
41, 17,47,13
42, 17,47,13
43, 17,47,13
44, 17,47,13
45, 17,47,13
46, 17,47,13
47, 17,47,13
48, 17,47,13
49, 17,47,13
50, 17,47,13
51, 17,47,13
52, 18,47,13
53, 18,47,13
54, 17,47,13
55, 18,47,13
56, 18,47,13
57, 18,47,13
58, 18,47,13
59, 18,47,13
60, 18,47,13
61, 18,47,13
62, 18,47,13
Light Source Color - RED	 , 08/05/2024,11:36:27
1, 12,9,85
2, 12,9,85
3, 12,9,85
4, 12,9,85
5, 12,9,85
6, 12,9,86
7, 12,9,86
8, 12,9,86
9, 12,9,86
10, 12,9,86
11, 12,9,86
12, 12,9,86
13, 12,9,86
14, 12,9,86
15, 12,9,86
16, 12,9,86
17, 12,9,86
18, 12,9,86
19, 12,9,86
20, 12,9,86
21, 12,9,86
22, 12,9,86
23, 12,9,86
24, 12,9,86
25, 12,9,86
26, 12,9,86
27, 12,9,86
28, 12,9,86
29, 12,9,86
30, 12,9,86
31, 12,9,86
32, 12,9,86
33, 12,9,86
34, 12,9,86
35, 12,9,86
36, 12,9,86
37, 12,9,86
38, 12,9,86
39, 12,9,86
40, 12,9,86
41, 12,9,86
42, 12,9,86
43, 12,9,86
44, 12,9,86
45, 12,9,86
46, 12,9,86
47, 12,9,86
48, 12,9,86
49, 12,9,86
50, 12,9,86
51, 12,9,86
52, 12,9,86
53, 12,9,86
54, 12,9,86
55, 12,9,86
56, 12,9,86
57, 12,9,86
58, 12,9,86
59, 12,9,86
60, 12,9,86
61, 12,9,86
62, 12,9,86
63, 12,9,86
64, 12,9,86
65, 12,9,86
66, 12,9,86
67, 12,9,86
68, 12,9,86
69, 12,9,86
70, 12,9,86
71, 12,9,86
72, 12,9,87
73, 12,9,87
74, 12,9,87
75, 12,9,87
76, 12,9,87
77, 12,9,87
78, 12,9,87
79, 12,9,87
80, 12,9,87
81, 12,9,87
82, 12,9,87
83, 12,9,87
84, 12,9,87
85, 12,9,87
86, 12,9,87
87, 12,9,87
88, 12,9,87
89, 12,9,87
90, 12,9,87
91, 12,9,87
92, 12,9,87
93, 12,9,87
94, 12,9,87
95, 12,9,87
96, 12,9,87
97, 12,9,87
98, 12,9,87
99, 12,9,87
100, 12,9,87
101, 12,9,87
102, 12,9,87
103, 12,9,87
104, 12,9,87
105, 12,9,87
106, 12,9,87
107, 12,9,87
108, 12,9,87
109, 12,9,87
110, 12,9,87
111, 12,9,87
112, 12,9,87
113, 12,9,87
114, 12,9,87
115, 12,9,87
116, 12,9,87
117, 12,9,87
118, 12,9,87
119, 12,9,87
120, 12,9,87
121, 12,9,87
122, 12,9,87
123, 12,9,87
124, 12,9,87
125, 12,9,87
126, 12,9,87
127, 12,9,87
128, 12,9,87
129, 12,9,87
130, 12,9,87
131, 12,9,87
132, 12,9,87
133, 12,9,87
134, 12,9,87
135, 12,9,87
136, 12,9,87
137, 12,9,87
138, 12,9,87
139, 12,9,87
