RED_4  :  Time_24ms. Gain_1X
Light Source Color - OFF
N,P,K
1, 3,5,0
2, 3,5,6
3, 3,5,6
4, 3,5,6
5, 3,5,6
6, 3,5,6
7, 3,5,6
8, 3,5,6
9, 3,5,6
10, 3,5,6
11, 3,5,6
12, 3,5,6
13, 3,5,6
14, 3,5,6
15, 3,5,6
16, 3,5,6
17, 3,5,6
18, 3,5,6
19, 3,5,6
20, 3,5,6
21, 3,5,6
22, 3,5,6
Light Source Color - WHITE	 , 08/05/2024,11:35:58
1, 71,64,96
2, 71,64,95
3, 71,64,95
4, 70,64,95
5, 70,64,95
6, 70,64,94
7, 70,64,94
8, 70,64,94
9, 70,64,94
10, 70,64,94
11, 70,64,94
12, 70,64,94
13, 70,64,94
14, 70,64,94
15, 70,64,94
16, 70,64,93
17, 70,64,93
18, 70,64,93
19, 70,64,93
20, 70,64,93
21, 70,64,93
22, 70,64,93
23, 70,64,93
24, 70,64,93
25, 70,64,93
26, 70,64,93
27, 70,64,93
28, 70,64,93
29, 70,64,93
30, 70,64,93
31, 70,64,93
32, 70,64,93
33, 70,64,93
34, 70,64,93
35, 70,64,93
36, 70,64,92
37, 70,64,92
38, 70,64,92
39, 70,64,92
40, 70,64,92
41, 70,64,92
42, 70,64,92
43, 70,64,92
44, 70,64,92
45, 70,64,92
46, 70,64,92
47, 70,63,92
48, 70,63,92
49, 70,63,92
50, 70,63,92
51, 70,63,92
52, 70,63,92
53, 70,63,92
54, 70,63,92
55, 70,63,92
56, 70,63,92
57, 70,63,92
58, 70,63,92
59, 70,63,92
60, 70,63,92
61, 70,63,92
62, 70,63,92
63, 70,63,91
64, 70,63,91
65, 70,63,91
66, 70,63,91
67, 70,63,91
68, 70,63,91
69, 70,63,91
70, 70,63,91
71, 70,63,91
72, 70,63,91
73, 70,63,91
74, 70,63,91
75, 70,63,91
76, 70,63,91
77, 70,63,91
78, 70,63,91
79, 70,63,91
80, 70,63,91
81, 70,63,91
82, 70,63,91
83, 70,63,91
84, 70,63,91
85, 70,63,91
86, 70,63,91
87, 70,63,91
88, 70,63,91
89, 70,63,91
90, 70,63,91
91, 70,63,91
92, 70,63,91
93, 70,63,91
94, 70,63,91
95, 70,63,91
96, 70,63,90
97, 70,63,90
98, 70,63,90
99, 70,63,90
100, 70,63,90
101, 70,63,90
102, 70,63,90
103, 70,63,90
104, 70,63,90
105, 70,63,90
106, 70,63,90
107, 70,63,90
108, 70,63,90
109, 70,63,90
110, 70,63,90
111, 69,63,90
112, 70,63,90
113, 70,63,90
114, 69,63,90
115, 69,63,90
116, 69,63,90
117, 69,63,90
118, 69,63,90
119, 69,63,90
120, 69,63,90
121, 69,63,90
122, 69,63,90
123, 69,63,90
124, 69,63,90
125, 69,63,90
126, 69,63,90
127, 69,63,90
128, 69,63,90
129, 69,63,90
130, 69,63,90
131, 69,63,90
132, 69,63,90
133, 69,63,90
134, 69,63,90
135, 69,63,89
136, 69,63,89
137, 69,63,89
138, 69,63,89
139, 69,63,89
140, 69,63,89
141, 69,63,89
142, 69,63,89
143, 69,63,89
144, 69,63,89
145, 69,63,89
146, 69,63,89
147, 69,63,89
148, 69,63,89
149, 69,63,89
150, 69,63,89
151, 69,63,89
152, 69,63,89
153, 69,63,89
154, 69,63,89
155, 69,63,89
156, 69,63,89
157, 69,63,89
158, 69,63,89
159, 69,63,89
160, 69,63,89
161, 69,63,89
162, 69,63,89
163, 69,63,89
164, 69,63,89
165, 69,63,89
166, 69,63,89
167, 69,63,89
168, 69,63,89
169, 69,63,89
170, 69,63,89
171, 69,63,89
172, 69,63,89
173, 69,63,89
174, 69,63,89
175, 69,63,89
176, 69,63,89
177, 69,63,89
178, 69,63,89
179, 69,63,89
180, 69,63,89
181, 69,63,88
182, 69,63,88
183, 69,63,88
184, 69,63,88
185, 69,63,88
186, 69,63,88
187, 69,63,88
188, 69,63,88
189, 69,63,88
190, 69,63,88
191, 69,63,88
192, 69,63,88
193, 69,63,88
194, 69,63,88
195, 69,63,88
196, 69,63,88
197, 69,63,88
198, 69,63,88
199, 69,63,88
200, 69,63,88
201, 69,63,88
202, 69,63,88
203, 69,63,88
204, 69,63,88
205, 69,63,88
206, 69,63,88
207, 69,63,88
208, 69,63,88
209, 69,63,88
210, 69,63,88
211, 69,63,88
212, 69,63,88
213, 69,63,88
214, 69,63,88
215, 69,63,88
216, 69,63,88
217, 69,63,88
