B_199ms_1x_0  :  Time_199ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
0, 25,44,54,128
Light Source Color - WHITE	 , 08/05/2024,15:13:19
1, 376,353,464,1154
1, 1532,1372,1803,4521
1, 1530,1371,1795,4510
1, 1528,1371,1789,4503
1, 1528,1370,1785,4497
1, 1527,1370,1781,4493
1, 1526,1370,1778,4488
1, 1525,1369,1775,4485
1, 1525,1369,1772,4481
Light Source Color - OFF	 , 08/05/2024,15:13:25
2, 1524,1369,1770,4478
2, 25,43,53,128
2, 25,43,54,128
2, 25,43,54,128
2, 25,43,54,128
2, 25,43,54,128
2, 25,44,54,128
2, 25,43,54,128
2, 25,43,54,128
2, 25,44,54,128
Light Source Color - RED	 , 08/05/2024,15:13:31
3, 25,44,54,128
3, 205,125,1662,1832
3, 204,125,1658,1828
3, 204,125,1656,1826
3, 204,125,1655,1825
3, 204,125,1654,1823
3, 204,125,1653,1823
3, 204,125,1652,1822
3, 204,125,1652,1821
3, 204,125,1651,1820
Light Source Color - OFF	 , 08/05/2024,15:13:37
4, 204,125,1650,1820
4, 25,43,54,128
4, 25,43,54,128
4, 25,43,54,128
4, 25,43,54,128
4, 25,44,54,128
4, 25,44,54,128
4, 25,44,54,128
4, 25,44,54,128
4, 25,44,54,128
Light Source Color - GREEN	 , 08/05/2024,15:13:43
5, 25,44,54,128
5, 371,1003,199,1594
5, 370,1003,199,1593
5, 370,1003,199,1593
5, 370,1003,199,1593
5, 370,1003,199,1592
5, 370,1002,199,1592
5, 370,1002,199,1592
5, 370,1002,199,1592
5, 370,1002,199,1592
Light Source Color - OFF	 , 08/05/2024,15:13:49
6, 370,1002,199,1592
6, 25,43,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
6, 25,44,54,128
Light Source Color - BLUE	 , 08/05/2024,15:13:55
7, 394,165,59,608
7, 1117,403,68,1547
7, 1116,403,68,1547
7, 1116,403,68,1547
7, 1116,403,68,1546
7, 1116,403,68,1546
7, 1116,403,68,1547
7, 1116,403,68,1547
7, 1116,403,68,1546
7, 1116,403,68,1547
Light Source Color - OFF	 , 08/05/2024,15:14:01
8, 787,295,64,1119
8, 25,43,54,128
8, 25,43,54,128
8, 25,44,54,128
8, 25,44,54,128
8, 25,44,54,128
8, 25,44,54,128
8, 25,44,54,128
8, 25,44,54,128
8, 25,44,54,128
Light Source Color - WHITE	 , 08/05/2024,15:14:07
9, 402,376,494,1230
9, 1529,1371,1796,4512
9, 1528,1370,1788,4501
9, 1527,1370,1782,4494
9, 1526,1369,1778,4488
9, 1525,1369,1774,4484
9, 1524,1369,1771,4480
9, 1524,1369,1768,4476
9, 1523,1368,1766,4473
9, 1523,1368,1764,4470
Light Source Color - OFF	 , 08/05/2024,15:14:13
10, 1522,1368,1761,4467
10, 25,43,53,128
10, 25,43,54,128
10, 25,43,54,128
10, 25,43,54,128
10, 25,43,54,128
10, 25,43,54,128
10, 25,43,54,128
10, 25,44,54,128
10, 25,44,54,128
Light Source Color - RED	 , 08/05/2024,15:14:19
11, 25,43,54,128
11, 204,125,1655,1825
11, 204,125,1651,1821
11, 204,125,1650,1819
11, 204,124,1648,1818
11, 204,124,1647,1817
11, 203,124,1647,1816
11, 203,124,1646,1815
11, 203,124,1645,1814
11, 203,124,1645,1814
Light Source Color - OFF	 , 08/05/2024,15:14:25
12, 203,124,1644,1813
12, 25,43,54,128
12, 25,43,54,128
12, 25,44,54,128
12, 25,44,54,128
12, 25,44,54,128
12, 25,44,54,128
12, 25,44,54,128
12, 25,44,54,128
12, 25,44,54,128
Light Source Color - GREEN	 , 08/05/2024,15:14:31
13, 25,44,54,128
13, 370,1003,199,1593
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1592
13, 370,1002,199,1591
Light Source Color - OFF	 , 08/05/2024,15:14:37
14, 370,1002,199,1591
14, 25,43,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
14, 25,44,54,128
Light Source Color - BLUE	 , 08/05/2024,15:14:43
15, 25,44,54,128
15, 1116,403,68,1547
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
15, 1116,403,68,1546
Light Source Color - OFF	 , 08/05/2024,15:14:49
