A_50ms_1x_0  :  Time_50ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 6,11,6,15
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
0, 6,11,13,32
Light Source Color - WHITE	 , 08/05/2024,14:14:38
1, 312,267,311,858
1, 318,272,315,873
1, 318,272,314,872
1, 317,272,313,870
1, 317,272,312,869
1, 317,272,312,868
1, 317,272,311,868
1, 317,272,311,867
1, 317,272,310,866
1, 316,272,310,866
1, 316,272,309,865
1, 316,272,309,865
1, 316,272,309,864
Light Source Color - OFF	 , 08/05/2024,14:14:43
2, 67,61,71,194
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
2, 6,11,13,32
Light Source Color - RED	 , 08/05/2024,14:14:49
3, 20,17,133,159
3, 37,25,287,322
3, 37,25,287,321
3, 37,25,286,321
3, 37,25,286,321
3, 37,25,286,320
3, 37,25,286,320
3, 37,25,286,320
3, 37,25,285,320
3, 37,25,285,320
3, 37,25,285,320
3, 37,24,285,320
3, 37,24,285,320
Light Source Color - OFF	 , 08/05/2024,14:14:55
4, 28,20,206,235
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
4, 6,11,13,32
Light Source Color - GREEN	 , 08/05/2024,14:15:00
5, 17,40,18,77
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
5, 73,193,40,311
Light Source Color - OFF	 , 08/05/2024,14:15:06
6, 20,47,19,88
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
6, 6,11,13,32
Light Source Color - BLUE	 , 08/05/2024,14:15:11
7, 118,47,15,176
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
7, 238,87,16,333
Light Source Color - OFF	 , 08/05/2024,14:15:17
8, 171,65,15,246
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
8, 6,11,13,32
Light Source Color - WHITE	 , 08/05/2024,14:15:23
9, 318,273,315,874
9, 317,272,312,869
9, 317,272,311,868
9, 317,272,310,866
9, 316,272,309,865
9, 316,272,309,864
9, 316,271,308,864
9, 316,271,308,863
9, 316,271,307,863
9, 316,271,307,862
9, 316,271,307,862
9, 316,271,306,861
9, 315,271,306,861
Light Source Color - OFF	 , 08/05/2024,14:15:28
10, 33,33,38,103
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
10, 6,11,13,32
Light Source Color - RED	 , 08/05/2024,14:15:34
11, 22,18,150,177
11, 37,24,285,319
11, 37,24,284,319
11, 37,24,284,318
11, 37,24,284,318
11, 37,24,284,318
11, 37,24,283,318
11, 37,24,283,318
11, 37,24,283,317
11, 37,24,283,317
11, 37,24,283,317
11, 37,24,283,317
11, 37,24,283,317
Light Source Color - OFF	 , 08/05/2024,14:15:40
12, 26,19,186,215
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
12, 6,11,13,32
Light Source Color - GREEN	 , 08/05/2024,14:15:45
13, 17,42,18,79
13, 73,193,40,311
13, 73,193,40,311
13, 73,193,40,310
13, 73,193,40,310
13, 73,193,40,310
13, 73,192,40,310
13, 73,192,40,310
13, 73,192,40,310
13, 73,192,40,310
13, 73,192,40,310
13, 73,192,40,310
13, 73,192,40,310
Light Source Color - OFF	 , 08/05/2024,14:15:51
14, 23,57,20,103
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
14, 6,11,13,32
Light Source Color - BLUE	 , 08/05/2024,14:15:56
15, 98,41,14,150
15, 238,87,16,333
15, 238,87,16,333
15, 238,87,16,332
15, 237,87,16,333
15, 237,87,16,332
15, 237,87,16,332
15, 237,87,16,332
15, 238,87,16,333
15, 237,87,16,333
15, 237,87,16,332
15, 237,87,16,332
15, 237,87,16,332
Light Source Color - OFF	 , 08/05/2024,14:16:02
