C_24ms_1x_0  :  Time_24ms. Gain_1x
Light Source Color - OFF
N,P,K,C
0, 3,5,1,2
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
0, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,15:33:05
1, 191,164,203,537
1, 190,164,202,535
1, 190,164,201,534
1, 190,164,200,533
1, 190,164,200,533
1, 190,164,200,532
1, 190,164,199,532
1, 190,164,199,531
1, 190,164,199,531
1, 190,164,198,531
1, 190,164,198,531
1, 190,164,198,530
1, 189,164,198,530
Light Source Color - OFF	 , 08/05/2024,15:33:10
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
2, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,15:33:16
3, 23,14,185,205
3, 23,14,185,204
3, 23,14,184,204
3, 23,14,184,204
3, 23,14,184,204
3, 23,14,184,204
3, 23,14,184,204
3, 23,14,184,203
3, 23,14,184,203
3, 23,14,184,203
3, 23,14,184,203
3, 23,14,184,203
3, 23,14,184,203
Light Source Color - OFF	 , 08/05/2024,15:33:22
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
4, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,15:33:27
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
5, 44,117,23,187
Light Source Color - OFF	 , 08/05/2024,15:33:33
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
6, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,15:33:38
7, 142,50,8,195
7, 142,50,8,195
7, 142,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
7, 141,50,8,195
Light Source Color - OFF	 , 08/05/2024,15:33:44
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
8, 3,5,6,15
Light Source Color - WHITE	 , 08/05/2024,15:33:49
9, 190,164,202,535
9, 190,164,200,533
9, 190,164,200,532
9, 190,164,199,532
9, 190,164,199,531
9, 189,164,198,531
9, 189,164,198,530
9, 189,164,198,530
9, 189,164,198,530
9, 189,164,197,529
9, 189,164,197,529
9, 189,164,197,529
9, 189,164,197,529
Light Source Color - OFF	 , 08/05/2024,15:33:55
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
10, 3,5,6,15
Light Source Color - RED	 , 08/05/2024,15:34:01
11, 23,14,184,204
11, 23,14,184,203
11, 23,14,183,203
11, 23,14,183,203
11, 23,14,183,203
11, 23,14,183,203
11, 23,14,183,203
11, 23,14,183,202
11, 23,14,183,202
11, 23,14,183,202
11, 23,14,183,202
11, 23,14,183,202
11, 23,14,183,202
Light Source Color - OFF	 , 08/05/2024,15:34:06
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
12, 3,5,6,15
Light Source Color - GREEN	 , 08/05/2024,15:34:12
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
13, 44,117,23,187
Light Source Color - OFF	 , 08/05/2024,15:34:17
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
14, 3,5,6,15
Light Source Color - BLUE	 , 08/05/2024,15:34:23
15, 142,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
15, 141,50,8,195
Light Source Color - OFF	 , 08/05/2024,15:34:28
