BLACK_2.4ms_60x_0  :  Time_2.4ms. Gain_60x
Light Source Color - OFF
N,P,K,C
0, 18,8167,10035,24003
0, 18,32,39,94
0, 18,32,39,93
0, 18,32,39,94
0, 18,32,39,94
0, 18,32,39,94
0, 18,32,39,94
0, 18,32,39,94
0, 18,32,39,94
0, 18,32,39,94
Light Source Color - WHITE	 , 08/05/2024,19:28:28
1, 499,435,394,1024
1, 498,434,391,1024
1, 498,434,390,1024
1, 496,433,388,1024
1, 497,433,388,1024
1, 497,433,387,1024
1, 496,433,387,1024
1, 496,433,387,1024
1, 496,433,386,1024
1, 495,433,385,1024
1, 495,433,385,1024
1, 496,433,385,1024
Light Source Color - OFF	 , 08/05/2024,19:28:33
2, 18,32,39,93
2, 18,32,39,93
2, 18,32,39,93
2, 18,32,39,94
2, 18,32,39,93
2, 18,32,39,93
2, 18,32,39,93
2, 18,32,39,94
2, 18,32,39,93
2, 18,32,39,93
2, 18,32,39,94
2, 18,32,39,94
Light Source Color - RED	 , 08/05/2024,19:28:39
3, 51,47,346,417
3, 51,47,345,416
3, 51,47,344,415
3, 51,47,344,415
3, 51,47,344,415
3, 51,47,344,415
3, 51,47,343,414
3, 51,47,343,414
3, 51,47,343,414
3, 51,47,343,414
3, 51,47,343,414
3, 51,47,343,414
Light Source Color - OFF	 , 08/05/2024,19:28:45
4, 18,32,39,93
4, 18,32,39,93
4, 18,32,39,94
4, 18,32,39,93
4, 18,32,39,93
4, 18,32,39,93
4, 18,32,39,93
4, 18,32,39,93
4, 18,32,39,94
4, 18,32,39,94
4, 18,32,39,94
4, 18,32,39,94
Light Source Color - GREEN	 , 08/05/2024,19:28:50
5, 123,318,80,535
5, 123,318,80,535
5, 123,318,80,535
5, 123,318,80,535
5, 123,317,80,534
5, 123,317,80,534
5, 123,318,80,534
5, 123,317,80,534
5, 123,318,80,534
5, 123,317,80,534
5, 123,318,80,534
5, 123,317,80,534
Light Source Color - OFF	 , 08/05/2024,19:28:56
6, 18,32,39,93
6, 18,32,39,94
6, 18,32,39,94
6, 18,32,39,93
6, 18,32,39,94
6, 18,32,39,94
6, 18,32,39,94
6, 18,32,39,94
6, 18,32,39,94
6, 18,32,39,93
6, 18,32,39,94
6, 18,32,39,94
Light Source Color - BLUE	 , 08/05/2024,19:29:02
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
7, 397,154,44,587
Light Source Color - OFF	 , 08/05/2024,19:29:07
8, 18,32,39,93
8, 18,32,39,93
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
8, 18,32,39,94
Light Source Color - WHITE	 , 08/05/2024,19:29:13
9, 498,434,391,1024
9, 497,434,389,1024
9, 497,434,387,1024
9, 497,434,387,1024
9, 497,434,386,1024
9, 495,433,385,1024
9, 496,433,385,1024
9, 496,433,384,1024
9, 496,433,384,1024
9, 495,433,383,1024
9, 495,433,382,1024
9, 494,432,382,1024
Light Source Color - OFF	 , 08/05/2024,19:29:19
10, 18,32,39,93
10, 18,32,39,93
10, 18,32,39,93
10, 18,32,39,93
10, 18,32,39,93
10, 18,32,39,94
10, 18,32,39,94
10, 18,32,39,94
10, 18,32,39,94
10, 18,32,39,93
10, 18,32,39,93
10, 18,32,39,94
Light Source Color - RED	 , 08/05/2024,19:29:25
11, 51,47,344,415
11, 51,47,343,414
11, 51,47,343,414
11, 51,47,342,413
11, 51,47,342,413
11, 51,47,342,413
11, 51,47,342,413
11, 51,47,342,412
11, 51,47,341,412
11, 51,47,342,412
11, 51,47,341,412
11, 51,47,341,412
Light Source Color - OFF	 , 08/05/2024,19:29:30
12, 18,32,39,93
12, 18,32,39,93
12, 18,32,39,93
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
12, 18,32,39,94
Light Source Color - GREEN	 , 08/05/2024,19:29:36
13, 123,318,80,534
13, 123,318,80,534
13, 123,317,79,534
13, 123,317,80,534
13, 123,317,79,534
13, 123,317,79,534
13, 123,317,79,533
13, 123,317,79,534
13, 123,317,79,534
13, 123,317,79,534
13, 122,317,79,534
13, 123,317,79,534
Light Source Color - OFF	 , 08/05/2024,19:29:42
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,93
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
14, 18,32,39,94
Light Source Color - BLUE	 , 08/05/2024,19:29:47
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,586
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,587
15, 397,154,44,586
15, 397,154,44,587
Light Source Color - OFF	 , 08/05/2024,19:29:53
