RED_6  :  Time_24ms. Gain_1X
Light Source Color - OFF
N,P,K
1, 3,5,6
2, 3,5,6
3, 3,5,6
4, 3,5,6
5, 3,5,6
6, 3,5,6
7, 3,5,6
8, 3,5,6
9, 3,5,6
10, 3,5,6
11, 3,5,6
12, 3,5,6
13, 3,5,6
14, 3,5,6
15, 3,5,6
16, 3,5,6
17, 3,5,6
18, 3,5,6
19, 3,5,6
20, 3,5,6
21, 3,5,6
22, 3,5,6
23, 3,5,6
Light Source Color - WHITE	 , 08/05/2024,11:35:58
1, 74,67,103
2, 74,67,102
3, 74,67,102
4, 74,67,102
5, 74,67,101
6, 74,67,101
7, 74,67,101
8, 74,67,101
9, 74,67,101
10, 74,67,101
11, 74,67,101
12, 74,66,100
13, 74,66,100
14, 74,66,100
15, 74,66,100
16, 74,66,100
17, 74,66,100
18, 74,66,100
19, 74,66,100
20, 74,66,100
21, 74,66,100
22, 74,66,100
23, 74,66,100
24, 74,66,100
25, 74,66,100
26, 74,66,100
27, 74,66,100
28, 73,66,99
29, 73,66,99
30, 73,66,99
31, 73,66,99
32, 73,66,99
33, 73,66,99
34, 73,66,99
35, 73,66,99
36, 73,66,99
37, 73,66,99
38, 73,66,99
39, 73,66,99
40, 73,66,99
41, 73,66,99
42, 73,66,99
43, 73,66,99
44, 73,66,99
45, 73,66,99
46, 73,66,99
47, 73,66,99
48, 73,66,99
49, 73,66,99
50, 73,66,99
51, 73,66,98
52, 73,66,98
53, 73,66,98
54, 73,66,98
55, 73,66,98
56, 73,66,98
57, 73,66,98
58, 73,66,98
59, 73,66,98
60, 73,66,98
61, 73,66,98
62, 73,66,98
63, 73,66,98
64, 73,66,98
65, 73,66,98
66, 73,66,98
67, 73,66,98
68, 73,66,98
69, 73,66,98
70, 73,66,98
71, 73,66,98
72, 73,66,98
73, 73,66,98
74, 73,66,98
75, 73,66,98
76, 73,66,98
77, 73,66,98
78, 73,66,97
79, 73,66,97
80, 73,66,97
81, 73,66,97
82, 73,66,97
83, 73,66,97
84, 73,66,97
85, 73,66,97
86, 73,66,97
87, 73,66,97
88, 73,66,97
89, 73,66,97
90, 73,66,97
91, 73,66,97
92, 73,66,97
93, 73,66,97
94, 73,66,97
95, 73,66,97
96, 73,66,97
97, 73,66,97
98, 73,66,97
99, 73,66,97
100, 73,66,97
101, 73,66,97
102, 73,66,97
103, 73,66,97
104, 73,66,97
105, 73,66,97
106, 73,66,97
107, 73,66,97
108, 73,66,97
109, 73,66,97
110, 73,66,97
111, 73,66,96
112, 73,66,96
113, 73,66,96
114, 73,66,96
115, 73,66,96
116, 73,66,96
117, 73,66,96
118, 73,66,96
119, 73,66,96
120, 73,66,96
121, 73,66,96
122, 73,66,96
123, 73,66,96
124, 73,66,96
125, 73,66,96
126, 73,66,96
127, 73,66,96
128, 73,66,96
129, 73,66,96
130, 73,66,96
131, 73,66,96
132, 73,66,96
133, 73,66,96
134, 73,66,96
135, 73,66,96
136, 73,66,96
137, 73,66,96
138, 73,66,96
139, 73,66,96
140, 73,66,96
141, 73,66,96
142, 73,66,96
143, 73,66,96
144, 73,66,96
145, 73,66,96
146, 73,66,96
147, 73,66,96
148, 73,66,96
149, 73,66,95
150, 73,66,95
151, 73,66,95
152, 73,66,95
153, 73,66,95
154, 73,66,95
155, 73,66,95
156, 73,66,95
157, 73,66,95
158, 73,66,95
159, 73,66,95
160, 73,66,95
161, 73,66,95
162, 73,66,95
163, 73,66,95
164, 73,66,95
165, 73,66,95
166, 73,66,95
167, 73,66,95
168, 73,66,95
169, 73,66,95
170, 73,66,95
171, 73,66,95
172, 73,66,95
173, 73,66,95
174, 73,66,95
175, 73,66,95
176, 73,66,95
177, 73,66,95
178, 73,66,95
179, 73,66,95
180, 73,66,95
181, 73,66,95
182, 73,66,95
183, 73,66,95
184, 73,66,95
185, 73,66,95
186, 73,66,95
187, 73,66,95
188, 73,66,95
189, 73,66,95
190, 72,66,95
191, 73,66,95
192, 72,66,95
193, 72,66,95
194, 72,66,94
195, 72,66,94
196, 72,66,94
197, 72,66,94
198, 72,66,94
199, 72,66,94
200, 72,66,94
201, 72,66,94
202, 72,66,94
203, 72,66,94
204, 72,66,94
205, 72,66,94
206, 72,66,94
207, 72,66,94
208, 72,66,94
209, 72,66,94
210, 72,66,94
211, 72,66,94
212, 72,66,94
213, 72,66,94
214, 72,66,94
215, 72,66,94
216, 72,66,94
