RED_8  :  Time_24ms. Gain_1X
Light Source Color - OFF
N,P,K
1, 3,5,0
2, 3,5,6
3, 3,5,6
4, 3,5,6
5, 3,5,6
6, 3,5,6
7, 3,5,6
8, 3,5,6
9, 3,5,6
10, 3,5,6
11, 3,5,6
12, 3,5,6
13, 3,5,6
14, 3,5,6
Light Source Color - WHITE	 , 08/05/2024,11:35:55
1, 63,58,99
2, 63,58,99
3, 63,58,99
4, 63,58,98
5, 63,58,98
6, 63,58,98
7, 63,58,98
8, 63,58,98
9, 63,58,98
10, 62,58,98
11, 62,58,97
12, 62,58,97
13, 62,58,97
14, 62,58,97
15, 62,58,97
16, 62,58,97
17, 62,58,97
18, 62,58,97
19, 62,58,97
20, 62,58,97
21, 62,58,97
22, 62,58,97
23, 62,58,97
24, 62,58,97
25, 62,58,97
26, 62,58,97
27, 62,58,96
28, 62,58,96
29, 62,58,96
30, 62,58,96
31, 62,58,96
32, 62,58,96
33, 62,58,96
34, 62,58,96
35, 62,58,96
36, 62,58,96
37, 62,58,96
38, 62,58,96
39, 62,58,96
40, 62,58,96
41, 62,58,96
42, 62,58,96
43, 62,58,96
44, 62,58,96
45, 62,58,96
46, 62,58,96
47, 62,58,96
48, 62,58,96
49, 62,58,96
50, 62,58,96
51, 62,58,95
52, 62,58,95
53, 62,57,95
54, 62,57,95
55, 62,57,95
56, 62,57,95
57, 62,57,95
58, 62,57,95
59, 62,57,95
60, 62,57,95
61, 62,57,95
62, 62,57,95
63, 62,57,95
64, 62,57,95
65, 62,57,95
66, 61,57,95
67, 61,57,95
68, 61,57,95
69, 61,57,95
70, 61,57,95
71, 61,57,95
72, 61,57,95
73, 61,57,95
74, 61,57,95
75, 61,57,95
76, 61,57,95
77, 61,57,95
78, 61,57,95
79, 61,57,95
80, 61,57,95
81, 61,57,94
82, 61,57,94
83, 61,57,94
84, 61,57,94
85, 61,57,94
86, 61,57,94
87, 61,57,94
88, 61,57,94
89, 61,57,94
90, 61,57,94
91, 61,57,94
92, 61,57,94
93, 61,57,94
94, 61,57,94
95, 61,57,94
96, 61,57,94
97, 61,57,94
98, 61,57,94
99, 61,57,94
100, 61,57,94
101, 61,57,94
102, 61,57,94
103, 61,57,94
104, 61,57,94
105, 61,57,94
106, 61,57,94
107, 61,57,94
108, 61,57,94
109, 61,57,94
110, 61,57,94
111, 61,57,94
112, 61,57,94
113, 61,57,94
114, 61,57,94
115, 61,57,94
116, 61,57,94
117, 61,57,94
118, 61,57,93
119, 61,57,93
120, 61,57,93
121, 61,57,93
122, 61,57,93
123, 61,57,93
124, 61,57,93
125, 61,57,93
126, 61,57,93
127, 61,57,93
128, 61,57,93
129, 61,57,93
Light Source Color - BLUE	 , 08/05/2024,11:36:44
1, 50,21,7
2, 50,21,7
3, 50,21,7
4, 50,21,7
5, 50,21,7
6, 50,21,7
7, 50,21,7
8, 50,21,7
9, 50,21,7
10, 50,21,7
11, 50,20,7
12, 50,20,7
13, 49,20,7
14, 49,20,7
15, 49,20,7
16, 49,20,7
17, 49,20,7
18, 49,20,7
19, 49,20,7
20, 49,20,7
21, 49,20,7
22, 48,20,7
23, 48,20,7
24, 48,20,7
25, 48,20,7
26, 48,20,7
27, 48,20,7
28, 48,20,7
29, 48,20,7
30, 48,20,7
31, 48,20,7
32, 48,20,7
33, 48,20,7
34, 48,20,7
35, 48,20,7
36, 48,20,7
37, 48,20,7
38, 48,20,7
39, 48,20,7
Light Source Color - GREEN	 , 08/05/2024,11:36:59
1, 17,45,13
2, 17,45,12
3, 17,45,12
4, 17,45,12
5, 17,45,12
6, 17,45,12
7, 17,45,13
8, 17,45,12
9, 17,45,13
10, 17,45,13
11, 17,45,13
12, 17,45,13
13, 17,45,13
14, 17,45,13
15, 17,45,13
16, 17,45,13
17, 17,45,13
18, 17,45,13
19, 17,45,13
20, 17,45,13
21, 17,45,13
22, 17,45,13
23, 17,45,13
24, 17,45,13
25, 17,45,13
26, 17,45,13
27, 17,45,13
28, 17,45,13
29, 17,45,13
30, 17,45,13
31, 17,45,13
32, 17,45,13
33, 17,45,13
34, 17,45,13
35, 17,45,13
36, 17,45,13
37, 17,45,13
38, 17,45,13
39, 17,45,13
40, 17,45,13
41, 17,45,13
42, 17,45,13
43, 17,45,13
44, 17,45,13
45, 17,45,13
46, 17,45,13
47, 17,45,13
48, 17,45,13
49, 17,45,13
50, 17,45,13
51, 17,45,13
52, 17,45,13
Light Source Color - RED	 , 08/05/2024,11:37:19
1, 12,9,90
2, 12,9,90
3, 12,9,90
4, 12,9,90
5, 12,9,90
