N1000_NH_4_Cl concentrate 1,000 mg/L rum time 15s/color  6 loops
352,White_4,181
353,White_5,178
354,White_6,176
355,White_7,176
356,White_8,175
357,White_9,181
358,White_10,180
359,White_11,181
360,White_12,182
361,White_13,181
362,White_14,177
363,Red_1,178
364,Red_2,66
365,Red_3,66
366,Red_4,68
367,Red_5,65
368,Red_6,66
369,Red_7,68
370,Red_8,66
371,Red_9,67
372,Red_10,68
373,Red_11,68
374,Red_12,64
375,Red_13,67
376,Red_14,68
377,Red_15,67
378,Green_1,65
379,Green_2,40
380,Green_3,40
381,Green_4,44
382,Green_5,39
383,Green_6,43
384,Green_7,38
385,Green_8,44
386,Green_9,41
387,Green_10,39
388,Green_11,39
389,Green_12,42
390,Green_13,39
391,Green_14,39
392,Blue_1,44
393,Blue_2,80
394,Blue_3,81
395,Blue_4,80
396,Blue_5,76
397,Blue_6,79
398,Blue_7,78
399,Blue_8,77
400,Blue_9,79
401,Blue_10,79
402,Blue_11,78
403,Blue_12,80
404,Blue_13,77
405,Blue_14,78
406,Blue_15,80
407,Black_1,76
408,Black_2,5
409,Black_3,6
410,Black_4,4
411,Black_5,6
412,Black_6,4
413,Black_7,4
414,Black_8,5
415,Black_9,5
416,Black_10,5
417,Black_11,5
418,Black_12,5
419,Black_13,5
420,Black_14,5
421,Black_0,5
422,Black_0,4
423,Black_0,4
424,Black_0,6
425,Black_0,4
426,Black_0,5
427,Black_0,5
428,Black_0,4
429,Black_0,4
430,Black_0,5
431,Black_0,4
432,Black_0,6
433,Black_0,5
434,Black_0,4
435,Black_0,3
436,White_1,6
437,White_2,172
438,White_3,170
439,White_4,171
440,White_5,176
441,White_6,170
442,White_7,177
443,White_8,171
444,White_9,172
445,White_10,171
446,White_11,170
447,White_12,173
448,White_13,173
449,White_14,173
450,Red_1,170
451,Red_2,64
452,Red_3,62
453,Red_4,65
454,Red_5,68
455,Red_6,63
456,Red_7,63
457,Red_8,63
458,Red_9,65
459,Red_10,62
460,Red_11,64
461,Red_12,63
462,Red_13,65
463,Red_14,63
464,Red_15,62
465,Green_1,66
466,Green_2,41
467,Green_3,38
468,Green_4,36
469,Green_5,39
470,Green_6,41
471,Green_7,39
472,Green_8,41
473,Green_9,42
474,Green_10,41
475,Green_11,40
476,Green_12,38
477,Green_13,37
478,Green_14,40
479,Blue_1,39
480,Blue_2,71
481,Blue_3,71
