N1000_NH_4_Cl concentrate 1,000 mg/L rum time 30s/color 3 loops
352,White_4,80
353,White_5,80
354,White_6,80
355,White_7,83
356,White_8,83
357,White_9,82
358,White_10,80
359,White_11,81
360,White_12,85
361,White_13,81
362,White_14,84
363,White_15,85
364,White_16,83
365,White_17,85
366,White_18,80
367,White_19,83
368,White_20,83
369,White_21,84
370,White_22,81
371,White_23,83
372,White_24,85
373,White_25,83
374,White_26,80
375,White_27,85
376,White_28,81
377,White_29,83
378,Red_1,84
379,Red_2,27
380,Red_3,22
381,Red_4,26
382,Red_5,23
383,Red_6,27
384,Red_7,27
385,Red_8,23
386,Red_9,24
387,Red_10,27
388,Red_11,24
389,Red_12,25
390,Red_13,24
391,Red_14,25
392,Red_15,25
393,Red_16,24
394,Red_17,27
395,Red_18,25
396,Red_19,27
397,Red_20,26
398,Red_21,25
399,Red_22,24
400,Red_23,26
401,Red_24,23
402,Red_25,24
403,Red_26,27
404,Red_27,24
405,Red_28,25
406,Red_29,24
407,Green_1,24
408,Green_2,15
409,Green_3,15
410,Green_4,16
411,Green_5,15
412,Green_6,16
413,Green_7,17
414,Green_8,15
415,Green_9,17
416,Green_10,17
417,Green_11,17
418,Green_12,17
419,Green_13,15
420,Green_14,18
421,Green_15,18
422,Green_16,18
423,Green_17,17
424,Green_18,16
425,Green_19,17
426,Green_20,16
427,Green_21,15
428,Green_22,16
429,Green_23,17
430,Green_24,15
431,Green_25,16
432,Green_26,16
433,Green_27,16
434,Green_28,17
435,Green_29,17
436,Blue_1,18
437,Blue_2,59
438,Blue_3,56
439,Blue_4,55
440,Blue_5,54
441,Blue_6,54
442,Blue_7,54
443,Blue_8,56
444,Blue_9,58
445,Blue_10,54
446,Blue_11,54
447,Blue_12,54
448,Blue_13,58
449,Blue_14,54
450,Blue_15,57
451,Blue_16,53
452,Blue_17,56
453,Blue_18,54
454,Blue_19,56
455,Blue_20,59
456,Blue_21,55
457,Blue_22,55
458,Blue_23,57
459,Blue_24,57
460,Blue_25,59
461,Blue_26,56
462,Blue_27,54
463,Blue_28,56
464,Blue_29,58
465,Black_1,58
466,Black_2,6
467,Black_3,6
468,Black_4,5
469,Black_5,5
470,Black_6,5
471,Black_7,6
472,Black_8,5
473,Black_9,5
474,Black_10,5
475,Black_11,4
476,Black_12,6
477,Black_13,6
478,Black_14,5
479,Black_15,5
480,Black_16,5
481,Black_17,5
482,Black_18,6
483,Black_19,5
484,Black_20,5
485,Black_21,6
486,Black_22,5
487,Black_23,5
488,Black_24,6
489,Black_25,5
490,Black_26,5
491,Black_27,6
492,Black_28,5
493,Black_29,5
494,Black_0,5
495,Black_0,5
496,Black_0,6
497,Black_0,5
498,Black_0,4
499,Black_0,5
500,Black_0,5
501,Black_0,4
502,Black_0,6
503,Black_0,5
504,Black_0,5
505,Black_0,5
506,Black_0,5
507,Black_0,5
508,Black_0,6
509,Black_0,5
510,Black_0,5
511,Black_0,5
512,Black_0,5
513,Black_0,5
514,Black_0,6
515,Black_0,5
516,Black_0,6
517,Black_0,6
518,Black_0,5
519,Black_0,6
520,Black_0,5
521,Black_0,5
522,Black_0,4
523,White_1,6
524,White_2,93
525,White_3,93
526,White_4,97
527,White_5,95
528,White_6,95
529,White_7,93
530,White_8,95
531,White_9,94
532,White_10,97
533,White_11,100
534,White_12,98
535,White_13,96
536,White_14,100
537,White_15,98
538,White_16,94
539,White_17,97
540,White_18,99
