Concentrate,Black,Blue,Green,Red,White
P10,4.546249999999999,56.53470588235293,89.62875,106.60416666666666,242.27809523809523
P100,3.887142857142857,36.37095238095239,66.56873015873015,73.61904761904763,168.6492063492064
P1000,3.884444444444444,27.158412698412697,56.04957264957264,59.25873015873016,134.952380952381
