N10_Empty_NH_4_Cl concentrate 10 mg/L rum time 30s/color 3 loops:
09/09/2023,13:36:15
351,White_6,675
352,White_7,666
353,White_8,672
354,White_9,671
355,White_10,676
356,White_11,679
357,White_12,677
358,White_13,679
359,White_14,668
360,White_15,674
361,White_16,673
362,White_17,676
363,White_18,665
364,White_19,676
365,White_20,673
366,White_21,675
367,White_22,665
368,White_23,674
369,White_24,678
370,White_25,672
371,White_26,675
372,White_27,679
373,White_28,677
374,Red_1,671
375,Red_2,263
376,Red_3,270
377,Red_4,262
378,Red_5,270
379,Red_6,262
380,Red_7,272
381,Red_8,265
382,Red_9,263
383,Red_10,261
384,Red_11,268
385,Red_12,264
386,Red_13,267
387,Red_14,267
388,Red_15,263
389,Red_16,258
390,Red_17,265
391,Red_18,271
392,Red_19,263
393,Red_20,264
394,Red_21,265
395,Red_22,267
396,Red_23,267
397,Red_24,261
398,Red_25,263
399,Red_26,271
400,Red_27,267
401,Red_28,262
402,Red_29,269
403,Green_1,272
404,Green_2,162
405,Green_3,161
406,Green_4,154
407,Green_5,155
408,Green_6,157
409,Green_7,157
410,Green_8,163
411,Green_9,158
412,Green_10,156
413,Green_11,161
414,Green_12,155
415,Green_13,157
416,Green_14,156
417,Green_15,162
418,Green_16,159
419,Green_17,155
420,Green_18,155
421,Green_19,157
422,Green_20,157
423,Green_21,157
424,Green_22,160
425,Green_23,157
426,Green_24,153
427,Green_25,156
428,Green_26,157
429,Green_27,161
430,Green_28,159
431,Green_29,158
432,Blue_1,157
433,Blue_2,290
434,Blue_3,290
435,Blue_4,287
436,Blue_5,285
437,Blue_6,284
438,Blue_7,284
439,Blue_8,282
440,Blue_9,289
441,Blue_10,290
442,Blue_11,280
443,Blue_12,285
444,Blue_13,283
445,Blue_14,287
446,Blue_15,286
447,Blue_16,283
448,Blue_17,284
449,Blue_18,283
450,Blue_19,285
451,Blue_20,285
452,Blue_21,283
453,Blue_22,288
454,Blue_23,284
455,Blue_24,282
456,Blue_25,290
457,Blue_26,290
458,Blue_27,289
459,Blue_28,286
460,Blue_29,288
461,Black_1,290
462,Black_2,6
463,Black_3,8
464,Black_4,7
465,Black_5,7
466,Black_6,7
467,Black_7,6
468,Black_8,7
469,Black_9,7
470,Black_10,6
471,Black_11,5
472,Black_12,7
473,Black_13,7
474,Black_14,7
475,Black_15,7
476,Black_16,7
477,Black_17,7
478,Black_18,7
479,Black_19,7
480,Black_20,6
481,Black_21,7
482,Black_22,7
483,Black_23,7
484,Black_24,5
485,Black_25,6
486,Black_26,7
487,Black_27,7
488,Black_28,5
489,Black_0,7
490,Black_0,6
491,Black_0,5
492,Black_0,7
493,Black_0,7
494,Black_0,6
495,Black_0,6
496,Black_0,7
497,Black_0,6
498,Black_0,6
499,Black_0,6
500,Black_0,6
501,Black_0,7
502,Black_0,8
503,Black_0,6
504,Black_0,6
505,Black_0,6
506,Black_0,7
507,Black_0,5
508,Black_0,6
509,Black_0,8
510,Black_0,7
511,Black_0,6
512,Black_0,5
513,Black_0,8
514,Black_0,6
515,Black_0,6
516,Black_0,6
517,Black_0,6
518,White_1,7
519,White_2,678
520,White_3,681
521,White_4,678
522,White_5,680
523,White_6,671
524,White_7,671
525,White_8,677
526,White_9,676
527,White_10,677
528,White_11,679
529,White_12,678
530,White_13,682
