Color,1,2,3,4,5,6,7,8,9,10,Mean,Std Deviation
Black,4.55,4.65,4.65,4.6,4.25,4.6,4.45,4.6,4.55,4.5625,4.546249999999999,0.11903110004439083
Blue,56.75,57.15,56.4,57.3,56.4,56.65,56.7,55.9,56.45,55.64705882352941,56.53470588235293,0.5039250018956815
Green,89.55,89.45,90.2,89.95,89.7,88.95,89.7,89.55,89.55,89.6875,89.62875,0.3256430603863347
Red,106.38095238095238,107.33333333333331,106.76190476190476,106.33333333333331,106.28571428571428,106.52380952380952,106.61904761904762,106.85714285714286,107.57142857142856,105.375,106.60416666666666,0.6053717423699763
White,241.66666666666663,243.04761904761904,243.04761904761904,242.9047619047619,242.1904761904762,242.47619047619048,242.7142857142857,241.47619047619048,241.8571428571429,241.4,242.27809523809523,0.6480204171731873
