Color,Con_P,Con_P10
Black,4.25287356321839,4.546249999999999
Blue,134.29885057471265,56.53470588235293
Green,74.09195402298853,89.62875
Red,124.17241379310344,106.60416666666666
White,320.8735632183908,242.27809523809523
