Order,Color,mean,std
1,Black,6.1,1.2096106376585989
1,Blue,330.7,3.7570985445798657
1,Green,197.95238095238096,2.036570413125726
1,Red,339.6666666666667,2.762848771346946
1,White,821.6666666666666,4.2347766568418646
2,Black,6.25,1.0699237552766379
2,Blue,332.1,3.3229663349420053
2,Green,197.76190476190476,2.9984122782693094
2,Red,339.3333333333333,3.3813212407775324
2,White,819.9047619047619,4.357806350731562
3,Black,5.8,0.9514531821875089
3,Blue,332.75,3.9586680375574517
3,Green,197.47619047619048,2.400396792595915
3,Red,340.0,3.209361307176253
3,White,822.0952380952381,3.3000721492834457
4,Black,5.85,1.0894228312566052
4,Blue,332.7,3.3576307436236066
4,Green,197.33333333333334,2.869378562220986
4,Red,338.6666666666667,3.0876096471758387
4,White,821.6190476190476,4.620348368642675
5,Black,6.05,0.8870412083230169
5,Blue,331.85,3.4070360633316006
5,Green,198.0952380952381,3.192252526113224
5,Red,341.1904761904762,2.6195237662416417
5,White,821.0952380952381,3.7934781125605768
6,Black,6.15,0.9880869341680844
6,Blue,331.55,3.4561158606310145
6,Green,196.71428571428572,3.3785034725875014
6,Red,340.5238095238095,3.572380825430672
6,White,822.047619047619,4.652700188881642
7,Black,6.45,1.1459310165698642
7,Blue,333.5,2.417044737516848
7,Green,197.66666666666666,2.1756225162774334
7,Red,339.57142857142856,2.9423023055326634
7,White,821.6666666666666,4.139243087006767
8,Black,5.95,0.7591546545162481
8,Blue,332.65,2.0072237962970187
8,Green,198.1904761904762,2.5420276870846186
8,Red,341.6666666666667,2.6520432374554788
8,White,821.7619047619048,3.5200108224941866
9,Black,6.25,1.1641577031891932
9,Blue,332.85,3.133435981894569
9,Green,197.7,2.7548999408709065
9,Red,339.6666666666667,3.6101708177499567
9,White,821.6190476190476,4.295069155161423
10,Black,6.1,1.2096106376585989
10,Blue,331.45,2.7810448623342494
10,Green,198.6,2.521486612465376
10,Red,339.7142857142857,2.795404391905695
10,White,821.0,3.633180424916972
11,Black,6.3,0.9787209698591858
11,Blue,333.3,2.494203807145474
11,Green,196.45,2.6847522673129682
11,Red,340.1904761904762,2.8393493553813913
11,White,820.952380952381,4.87315288572185
12,Black,6.05,1.0990426455975697
12,Blue,332.7,2.4942038071454613
12,Green,197.65,2.455391489848628
12,Red,340.6190476190476,3.4565328072533994
12,White,821.5714285714286,3.98210281850467
13,Black,5.75,0.9665456669582608
13,Blue,331.9,3.2101811721295013
13,Green,198.0,2.9912152080805927
13,Red,340.42857142857144,2.1580414400893333
13,White,823.952380952381,3.680709041423816
14,Black,5.75,1.118033988749895
14,Blue,331.55,3.3946552417773264
14,Green,198.25,2.1490511982341376
14,Red,339.6190476190476,2.6921402355039246
14,White,821.8095238095239,4.996189023836535
