Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,Mean,Std Deviation
Black,7.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,8.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.344827586206897,0.7145535752182818
Blue,277.5,272.0,278.5,279.0,274.5,279.0,275.5,276.5,275.0,275.0,282.5,278.0,278.5,275.5,277.0,276.5,278.5,269.0,278.0,280.0,276.0,276.0,278.0,276.0,276.0,275.0,277.0,271.0,275.0,275.0,279.0,276.0,272.0,281.0,275.0,277.0,279.0,275.0,277.0,275.0,277.0,276.0,277.0,276.0,279.0,274.0,278.0,276.0,274.0,274.0,274.0,273.0,275.0,275.0,277.0,275.0,279.0,269.0,276.12068965517244,2.5637663235258965
Green,202.0,201.5,199.5,200.0,200.5,197.5,200.5,204.5,197.5,200.0,198.0,198.5,198.5,199.5,201.5,199.5,199.5,198.0,197.5,204.0,198.0,200.0,199.5,199.0,198.0,200.0,199.5,201.0,198.0,201.0,201.0,199.0,199.5,198.0,196.5,199.5,199.5,203.0,203.5,197.0,198.5,199.0,200.5,199.0,200.5,201.0,199.0,202.5,199.5,196.5,196.0,199.5,197.5,199.0,197.5,200.5,199.5,201.5,199.57758620689654,1.8252654797002432
Red,330.5,330.5,337.0,333.0,334.0,336.0,335.0,331.5,334.0,335.5,332.0,336.0,331.5,332.0,332.5,331.5,336.0,333.0,334.5,333.0,332.5,331.0,335.0,335.0,333.5,333.0,334.0,332.5,335.0,331.0,332.5,333.5,331.0,331.5,338.0,334.0,329.5,333.0,329.5,335.5,336.5,333.0,331.0,332.0,329.5,335.0,330.5,335.5,333.5,332.0,334.5,333.0,332.0,336.5,334.0,332.0,333.5,336.0,333.26724137931035,2.0266113737004687
White,769.5,763.0,765.0,768.0,762.5,764.0,766.5,767.0,765.0,772.0,769.0,770.5,768.5,768.0,771.5,773.5,767.5,770.5,765.0,765.5,765.0,769.0,766.0,768.5,765.0,774.0,769.0,769.0,767.5,767.5,763.5,765.0,767.5,771.0,768.5,769.5,768.5,765.5,765.5,765.5,771.5,768.5,766.5,770.0,769.0,768.0,766.5,766.5,764.0,765.0,770.0,766.5,766.5,766.5,768.0,769.0,759.5,768.5,767.4568965517242,2.7165581983920504
