Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,Mean,Std Deviation
Black,8.0,9.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,9.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,7.5,0.8429272304235246
Blue,312.0,313.0,314.5,312.5,313.5,312.0,312.5,313.5,310.5,310.0,315.0,314.5,313.0,313.0,313.5,314.5,313.5,313.5,310.0,311.0,305.0,312.0,310.0,315.0,311.0,311.0,308.0,311.0,313.0,309.0,314.0,312.0,311.0,312.0,314.0,312.0,307.0,314.0,312.0,312.0,312.0,312.0,314.0,314.0,316.0,309.0,312.0,315.0,311.0,312.0,310.0,314.0,309.0,310.0,314.0,312.0,312.0,313.0,312.0948275862069,2.0994086396932423
Green,225.5,226.5,223.0,227.0,224.5,227.0,227.5,229.0,224.0,225.5,224.5,224.5,225.5,227.5,224.0,227.0,223.5,226.5,222.5,224.0,225.5,227.0,223.0,224.0,228.5,228.5,227.0,223.5,223.0,222.0,226.0,223.5,226.5,223.5,225.0,223.0,225.5,226.0,226.0,225.5,226.5,223.5,226.5,227.0,223.5,229.0,226.5,224.5,227.0,225.0,224.5,226.0,227.0,226.5,225.5,224.5,226.0,227.0,225.47413793103448,1.6999030255960872
Red,338.0,340.5,337.0,338.5,344.5,344.5,337.5,343.0,340.5,342.5,341.0,342.0,342.5,339.0,340.5,343.5,337.0,340.0,344.0,342.5,341.5,342.0,341.0,337.0,338.5,340.5,341.0,343.0,339.0,341.0,342.0,338.0,340.0,343.5,341.0,339.5,342.5,339.0,344.5,343.5,344.5,341.5,338.0,342.0,341.0,338.0,342.5,340.5,343.0,335.5,340.5,346.5,342.0,342.0,340.0,343.0,344.5,342.0,341.0948275862069,2.336696004054871
White,820.0,827.0,828.0,824.5,827.0,820.5,832.5,823.0,825.0,825.5,824.0,825.5,827.5,826.5,825.0,826.0,823.5,825.0,825.5,825.0,824.5,825.0,825.0,825.5,824.0,827.5,832.0,823.5,825.5,826.0,821.5,826.0,827.0,831.5,827.0,824.0,826.5,822.5,824.5,825.0,828.5,824.5,826.5,831.5,826.0,823.5,828.5,828.0,824.5,824.0,826.0,826.5,829.0,826.0,818.5,827.5,821.5,825.0,825.6206896551724,2.6857491764568175
