Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean,Std Deviation
Black,5.15,5.05,5.2,5.15,5.05,5.25,4.8,5.15,4.95,5.05,5.05,4.95,5.65,5.25,4.833333333333333,5.102222222222222,0.20372198090202626
Blue,326.0952380952381,324.6666666666667,324.85714285714283,325.8,326.05,326.4,324.15,325.75,325.25,324.85,325.95,326.8,325.75,325.75,325.0,325.54126984126987,0.7209354113933709
Green,189.52380952380952,190.14285714285717,190.0952380952381,189.0,189.14285714285717,189.66666666666663,188.42857142857144,188.8095238095238,189.95238095238096,188.9047619047619,189.52380952380952,189.28571428571428,189.42857142857144,189.33333333333331,189.5,189.3825396825397,0.4802941095858257
Red,322.3809523809524,322.57142857142856,323.1904761904762,322.2857142857143,321.23809523809524,321.3333333333333,321.8095238095238,320.6190476190476,322.0,321.95238095238096,323.04761904761904,322.1428571428572,321.23809523809524,320.1904761904762,319.6923076923077,321.7128205128205,1.00007839402286
White,793.95,793.1904761904761,793.952380952381,794.8571428571429,794.2380952380952,793.5714285714286,794.2380952380952,794.5238095238095,794.2380952380952,794.8095238095239,793.8095238095239,794.952380952381,794.1904761904761,792.8571428571429,795.7692307692307,794.2098534798535,0.7286754870928045
