Color,1,2,3,4,5,6,7,8,9,10,Mean,Std Deviation
Black,5.0,5.0,5.0,5.0,5.05,4.95,5.0,5.1,5.0,5.117647058823529,5.021764705882353,0.051751335171582806
Blue,67.5,66.85,65.7,67.0,66.2,66.6,66.9,66.15,66.65,66.94117647058823,66.64911764705883,0.5152966730768984
Green,89.6,88.9,88.9,89.15,89.2,87.95,89.0,88.7,89.05,88.94117647058823,88.93911764705881,0.42214973628584873
Red,113.47619047619048,114.14285714285714,114.0952380952381,113.14285714285714,113.76190476190476,112.52380952380952,113.61904761904762,112.85714285714286,113.85,112.3529411764706,113.38219887955184,0.6363213816462965
White,257.9047619047619,257.04761904761904,258.7619047619048,258.7142857142857,258.6190476190476,259.04761904761904,258.6666666666667,258.3333333333333,258.6190476190476,258.7058823529412,258.4420168067228,0.5745321939355794
