Color,Mean,Std Deviation
Black,4.222499999999999,0.185760449085494
Blue,40.93,0.3343318378165282
Green,77.69333333333333,0.4583383838105583
Red,86.58801587301589,0.6361153277279888
White,199.9380952380953,3.808733383606997
Black,4.237647058823529,0.0791486806497534
Blue,23.655,0.2629427483101382
Green,52.61857142857143,0.3367040458807587
Red,50.79809523809524,0.381079343922396
White,118.8102380952381,0.470821652508301
Black,5.3,0.6324555320336759
Blue,113.9,1.3080944580232388
Green,36.45,1.165475582469806
Red,68.18333333333332,1.1823026288445948
White,208.8333333333333,1.0914934835771417
Black,4.17,0.1251665557034573
Blue,46.35666666666666,0.7322466696306544
Green,91.045,0.4833045968468879
Red,93.51714285714289,0.4877341547340423
White,220.42380952380955,1.5471834958941584
Black,4.825,0.1719980620045855
Blue,35.25382352941176,0.3494848463437484
Green,71.67499999999998,0.3987828704668467
Red,71.55497835497836,0.4673578495638021
White,167.53714285714284,0.5754391883693755
Black,4.546249999999999,0.1190311000443908
Blue,56.53470588235293,0.5039250018956815
Green,89.62875,0.3256430603863347
Red,106.60416666666666,0.6053717423699763
White,242.27809523809523,0.6480204171731873
Black,5.021764705882353,0.0517513351715828
Blue,66.64911764705883,0.5152966730768984
Green,88.93911764705881,0.4221497362858487
Red,113.38219887955184,0.6363213816462965
White,258.4420168067228,0.5745321939355794
Black,4.395555555555556,0.1412060672887445
Blue,115.85412698412698,0.564773080004003
Green,127.24761904761904,0.5004694912721509
Red,167.26904761904763,0.5767503042983739
White,396.5952380952381,1.0764809071716115
Black,5.102222222222222,0.2037219809020262
Blue,325.54126984126987,0.7209354113933709
Green,189.3825396825397,0.4802941095858257
Red,321.7128205128205,1.00007839402286
White,794.2098534798535,0.7286754870928045
