Color,1,2,3,4,5,6,7,8,9,10,Mean,Std Deviation
Black,4.35,4.2,4.2,4.3,4.35,4.2,4.15,4.3,4.15,4.176470588235294,4.237647058823529,0.0791486806497534
Blue,23.7,23.5,23.95,23.3,23.85,23.95,23.45,23.3,23.95,23.6,23.654999999999998,0.26294274831013825
Green,52.25,52.75,52.8,52.65,52.95,52.65,53.2,52.1,52.55,52.285714285714285,52.61857142857143,0.3367040458807587
Red,50.85714285714285,51.523809523809526,50.61904761904762,50.80952380952381,51.04761904761905,51.142857142857146,50.38095238095238,50.85714285714285,50.47619047619048,50.266666666666666,50.798095238095236,0.381079343922396
White,118.76190476190476,118.9047619047619,119.04761904761904,119.38095238095238,118.57142857142856,118.8095238095238,118.14285714285714,118.71428571428572,119.61904761904762,118.15,118.8102380952381,0.470821652508301
