N1000_No_Reagent_NH_4_Cl concentrate 1,000 mg/L rum time 15s/color  6 loops
1,White_1,4
2,White_2,732
3,White_3,732
4,White_4,736
5,White_5,724
6,White_6,730
7,White_7,732
8,White_8,730
9,White_9,733
10,White_10,731
11,White_11,735
12,White_12,738
13,White_13,730
14,White_14,738
15,Red_1,734
16,Red_2,297
17,Red_3,293
18,Red_4,75
19,Red_5,21
20,Red_6,26
21,Red_7,34
22,Red_8,32
23,Red_9,24
24,Red_10,20
25,Red_11,26
26,Red_12,26
27,Red_13,25
28,Red_14,27
