concentration_mg_L,s_red,b_red,abs_red,s_white,b_white,abs_white,s_green,b_green,abs_green,abs_blue,ratio_red_white,ratio_red_green,diff_red_white
1.0,21.0,28.0,0.12493873660829993,218.8,255.0,0.06649286277256201,208.0,224.0,0.032184683371401235,0.0,1.8789796588492704,3.8819315127803424,0.05844587383573792
2.0,18.0,28.0,0.19188552623891317,189.8,255.0,0.1282439723426813,192.0,230.0,0.0784266073140433,0.09691001300805642,1.4962537633049526,2.4466891124149592,0.06364155389623186
4.0,12.4,29.0,0.36897631273672105,133.0,255.0,0.2826885394668694,154.0,233.0,0.17983520018955587,0.09691001300805642,1.305239729323956,2.0517468901961373,0.08628777326985165
6.0,9.0,28.0,0.49291552190289434,102.0,255.0,0.3979400086720376,132.0,223.0,0.22773093184231083,0.09691001300805642,1.238667917678845,2.164464519225728,0.09497551323085673
8.0,9.0,29.0,0.5081554884596312,96.0,255.0,0.42426894739438675,126.0,243.0,0.2852357284807493,0.09691001300805642,1.1977201998412252,1.781528180800558,0.08388654106524446
10.0,10.0,32.0,0.505149978319906,103.0,255.0,0.39370295572878294,136.0,238.0,0.24303804868629444,0.09691001300805642,1.2830738783376001,2.078481048751083,0.1114470225911231
