No.,Order,Color,Intensity
1,1,White,953.0
2,2,White,952.0
3,3,White,949.0
4,4,White,952.0
5,5,White,950.0
6,6,White,951.0
7,7,White,950.0
8,8,White,951.0
9,9,White,950.0
10,10,White,953.0
11,11,White,958.0
12,12,White,951.0
13,13,White,950.0
14,14,White,942.0
15,15,White,947.0
16,16,White,950.0
17,17,White,953.0
18,18,White,956.0
19,19,White,949.0
20,20,White,947.0
21,21,White,951.0
22,22,White,952.0
23,23,White,953.0
24,24,White,949.0
29,1,Red,341.0
30,2,Red,345.0
31,3,Red,351.0
32,4,Red,347.0
33,5,Red,348.0
34,6,Red,344.0
35,7,Red,343.0
36,8,Red,342.0
37,9,Red,344.0
38,10,Red,339.0
39,11,Red,345.0
40,12,Red,347.0
41,13,Red,346.0
42,14,Red,344.0
43,15,Red,343.0
44,16,Red,345.0
45,17,Red,345.0
46,18,Red,338.0
47,19,Red,344.0
48,20,Red,340.0
49,21,Red,349.0
50,22,Red,343.0
51,23,Red,351.0
52,24,Red,347.0
57,1,Green,440.0
58,2,Green,441.0
59,3,Green,440.0
60,4,Green,440.0
61,5,Green,442.0
62,6,Green,444.0
63,7,Green,445.0
64,8,Green,445.0
65,9,Green,441.0
66,10,Green,444.0
67,11,Green,445.0
68,12,Green,444.0
69,13,Green,447.0
70,14,Green,449.0
71,15,Green,448.0
72,16,Green,452.0
73,17,Green,448.0
74,18,Green,447.0
75,19,Green,445.0
76,20,Green,448.0
77,21,Green,438.0
78,22,Green,440.0
79,23,Green,446.0
80,24,Green,443.0
86,1,Blue,303.0
87,2,Blue,307.0
88,3,Blue,310.0
89,4,Blue,310.0
90,5,Blue,307.0
91,6,Blue,312.0
92,7,Blue,309.0
93,8,Blue,306.0
94,9,Blue,305.0
95,10,Blue,308.0
96,11,Blue,308.0
97,12,Blue,307.0
98,13,Blue,312.0
99,14,Blue,309.0
100,15,Blue,306.0
101,16,Blue,305.0
102,17,Blue,313.0
103,18,Blue,307.0
104,19,Blue,307.0
105,20,Blue,307.0
106,21,Blue,304.0
107,22,Blue,311.0
108,23,Blue,307.0
109,24,Blue,312.0
116,1,Black,9.0
117,2,Black,11.0
118,3,Black,9.0
119,4,Black,8.0
120,5,Black,10.0
121,6,Black,9.0
122,7,Black,10.0
123,8,Black,8.0
124,9,Black,8.0
125,10,Black,10.0
126,11,Black,8.0
127,12,Black,9.0
128,13,Black,10.0
129,14,Black,11.0
130,15,Black,9.0
131,16,Black,10.0
132,17,Black,12.0
133,18,Black,10.0
134,19,Black,9.0
135,20,Black,7.0
136,21,Black,8.0
137,22,Black,9.0
138,23,Black,7.0
139,24,Black,9.0
174,1,White,950.0
175,2,White,957.0
