Concentrate,Blue,Green,Red,White
0,0.0,0.0,0.0,0.0
10,0.8895165087701116,0.7922511306073068,0.8386089671400786,0.8413142234851364
100,0.9645636923655457,0.9336282829346587,0.9503639515557788,0.9498726535702621
1000,1.0,1.0,1.0,1.0
