Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean,Std Deviation
Black,5.0,6.0,5.666666666666667,5.333333333333333,5.333333333333333,6.666666666666667,5.0,6.333333333333333,5.666666666666667,6.333333333333333,6.0,6.0,6.333333333333333,6.333333333333333,5.666666666666667,6.333333333333333,6.0,6.0,6.0,6.666666666666667,6.333333333333333,6.0,5.666666666666667,6.0,5.666666666666667,6.0,5.333333333333333,6.333333333333333,5.666666666666667,5.919540229885057,0.4423527682043377
Blue,277.0,277.0,276.3333333333333,275.0,275.0,279.0,279.6666666666667,278.0,274.6666666666667,276.0,279.0,276.6666666666667,274.6666666666667,276.0,275.6666666666667,276.6666666666667,275.0,276.0,279.6666666666667,276.3333333333333,275.3333333333333,275.0,276.0,275.3333333333333,277.3333333333333,279.0,278.0,277.0,279.3333333333333,276.74712643678157,1.595268729946272
Green,199.66666666666663,199.33333333333331,198.66666666666663,199.0,201.0,201.0,195.33333333333331,199.33333333333331,200.0,197.0,197.66666666666663,201.33333333333331,198.66666666666663,199.33333333333331,200.66666666666663,197.66666666666663,201.0,197.66666666666663,200.0,199.33333333333331,200.0,201.0,202.66666666666663,199.66666666666663,199.0,200.0,198.66666666666663,199.0,199.66666666666663,199.42528735632186,1.479748347663819
Red,331.3333333333333,332.0,334.3333333333333,335.0,333.0,334.3333333333333,336.0,334.6666666666667,330.0,332.3333333333333,334.3333333333333,335.6666666666667,335.3333333333333,331.6666666666667,333.0,336.0,335.6666666666667,336.6666666666667,331.3333333333333,334.0,331.6666666666667,335.6666666666667,333.6666666666667,333.6666666666667,332.0,336.3333333333333,333.3333333333333,332.0,335.6666666666667,333.8160919540231,1.8204879140523669
White,767.75,769.0,769.0,768.25,765.75,767.5,770.25,768.75,766.5,766.5,770.75,765.25,766.5,773.0,770.5,767.25,770.0,767.0,771.0,767.3333333333334,772.3333333333334,771.3333333333334,771.3333333333334,772.3333333333334,768.0,768.6666666666666,768.3333333333334,771.6666666666666,769.3333333333334,769.0057471264367,2.1332044039447613
