Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std Deviation
Black,8.333333333333334,7.0,7.0,7.0,8.0,7.333333333333333,7.333333333333333,8.0,7.333333333333333,7.333333333333333,8.0,7.333333333333333,8.0,7.666666666666667,7.0,7.0,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,8.0,6.666666666666667,7.333333333333333,7.666666666666667,7.666666666666667,8.0,8.0,7.333333333333333,6.666666666666667,,7.505747126436781,0.44204332236849214
Blue,321.3333333333333,317.6666666666667,315.6666666666667,317.3333333333333,320.3333333333333,321.6666666666667,319.0,318.6666666666667,317.3333333333333,320.3333333333333,315.6666666666667,318.0,321.0,319.6666666666667,321.0,322.6666666666667,317.6666666666667,317.0,319.0,315.3333333333333,322.6666666666667,318.0,315.3333333333333,318.3333333333333,317.6666666666667,319.6666666666667,319.0,316.6666666666667,319.0,,318.7126436781609,2.083045957191085
Green,229.66666666666663,228.0,228.0,230.66666666666663,231.66666666666663,225.33333333333331,225.33333333333331,229.0,228.66666666666663,227.0,228.66666666666663,229.0,227.66666666666663,230.0,230.0,229.0,229.33333333333331,226.0,229.33333333333331,227.33333333333331,230.0,227.33333333333331,228.0,226.33333333333331,230.66666666666663,228.66666666666663,229.0,226.0,228.66666666666663,,228.42528735632186,1.620544078055798
Red,350.6666666666667,351.3333333333333,349.6666666666667,347.6666666666667,352.0,348.6666666666667,348.6666666666667,355.3333333333333,349.3333333333333,350.0,347.0,350.3333333333333,346.3333333333333,347.3333333333333,349.0,348.3333333333333,352.0,348.3333333333333,348.6666666666667,349.3333333333333,352.0,349.3333333333333,351.6666666666667,351.0,345.0,349.6666666666667,351.0,346.0,350.0,,349.50574712643675,2.154030348740476
White,843.75,841.25,842.5,841.25,841.5,841.5,842.0,839.75,841.25,840.0,846.75,840.75,837.0,845.0,842.5,840.3333333333334,842.3333333333334,845.3333333333334,844.3333333333334,843.3333333333334,845.3333333333334,842.0,840.3333333333334,846.0,844.0,842.3333333333334,846.3333333333334,845.3333333333334,840.0,836.0,842.3361111111111,2.590829255747929
