Concentrate,Blue,Green,Red,White
0,0.0,0.0,0.0,0.0
10,231.18395791075056,125.5305268199234,242.57426724137935,565.5066605090312
100,250.68860426929396,147.9314395183361,274.9002791461412,638.4764422550629
1000,259.89844553913525,158.44789861479518,289.2578981937603,672.17056923919
