Color,N20_W,N20_NoR,N40_W,N40_NoR,N60_W,N60_NoR,N80_W,N80_NoR,N100_W,N100_NoR
Black,4.322916666666667,4.28125,4.385416666666667,4.333333333333333,4.135416666666667,4.291666666666667,4.697916666666667,4.59375,4.166666666666667,4.208333333333333
Blue,227.96875,227.21875,269.5520833333333,262.5625,218.0,284.40625,221.65625,224.46875,284.2916666666667,235.90625
Green,348.2708333333333,352.90625,368.0208333333333,374.6979166666667,333.9479166666667,445.3541666666667,353.09375,334.5104166666667,434.5208333333333,354.3229166666667
Red,320.9270833333333,322.0520833333333,330.5520833333333,323.7708333333333,309.6354166666667,359.7291666666667,300.78125,301.6354166666667,342.0416666666667,315.3229166666667
White,844.6145833333334,850.34375,909.9791666666666,898.2916666666666,816.6770833333334,953.1354166666666,826.4479166666666,813.9479166666666,949.6458333333334,852.46875
