Color,Order,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
Black,12.5,5.010416666666667,3.2916666666666665,4.322916666666667,5.09375,4.135416666666667,3.2916666666666665,4.333333333333333,4.291666666666667,4.385416666666667,4.697916666666667,4.052083333333333,3.3125,3.53125,4.28125,4.28125,4.59375,4.333333333333333,3.71875,4.208333333333333,4.166666666666667
Blue,12.5,264.4791666666667,240.25,227.96875,269.7083333333333,218.0,264.4791666666667,286.2395833333333,284.40625,269.5520833333333,221.65625,297.9895833333333,193.71875,270.25,227.21875,272.15625,224.46875,262.5625,274.78125,235.90625,284.2916666666667
Green,12.5,429.6354166666667,381.2604166666667,348.2708333333333,426.7708333333333,333.9479166666667,412.65625,414.5625,445.3541666666667,368.0208333333333,353.09375,414.0208333333333,295.6458333333333,418.5833333333333,352.90625,397.53125,334.5104166666667,374.6979166666667,384.5520833333333,354.3229166666667,434.5208333333333
Red,12.5,328.125,315.25,320.9270833333333,333.3541666666667,309.6354166666667,336.0625,331.9375,359.7291666666667,330.5520833333333,300.78125,338.03125,308.9375,338.6666666666667,322.0520833333333,327.1458333333333,301.6354166666667,323.7708333333333,336.46875,315.3229166666667,342.0416666666667
White,12.5,941.3645833333334,888.5833333333334,844.6145833333334,943.0729166666666,816.6770833333334,938.96875,943.8229166666666,953.1354166666666,909.9791666666666,826.4479166666666,948.0208333333334,763.4583333333334,942.5,850.34375,929.2083333333334,813.9479166666666,898.2916666666666,929.25,852.46875,949.6458333333334
