Color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean,Std Deviation
Black,3.95,4.0,4.1,3.85,3.8,3.8,3.8,3.9,3.7,3.9,3.75,3.95,4.1,3.85,3.857142857142857,3.887142857142857,0.11706443367929067
Blue,36.95,35.8,36.4,36.85,36.45,36.25,36.75,36.6,36.3,36.6,36.85,36.6,36.15,35.8,35.214285714285715,36.37095238095239,0.47515124695510813
Green,65.80952380952381,66.61904761904762,66.52380952380952,66.76190476190476,66.42857142857143,65.95238095238095,66.28571428571429,66.15,66.35,66.3,66.75,67.55,66.9,67.15,67.0,66.56873015873015,0.4646534969845975
Red,73.33333333333333,73.9047619047619,73.42857142857143,73.52380952380952,73.80952380952381,73.85714285714286,73.0,73.42857142857143,73.38095238095238,74.14285714285714,74.19047619047619,73.52380952380952,73.42857142857143,73.66666666666667,73.66666666666667,73.61904761904763,0.31943828249996964
White,169.04761904761904,169.52380952380952,169.66666666666666,168.61904761904762,168.38095238095238,169.71428571428572,170.04761904761904,168.71428571428572,168.61904761904762,168.66666666666666,168.42857142857142,168.61904761904762,168.0952380952381,168.95238095238096,164.64285714285714,168.6492063492064,1.2428762563581859
