Color,P10_B,P20_A,P40_A,P60_A,P80_A,P100_A
Black,0.06176084099868601,0.06241787122207614,0.05847568988173454,0.16097240473061764,0.0663600525624179,0.0006570302233902946
Blue,0.7661939775910364,0.6202731092436975,0.5886729691876752,0.6011904761904762,0.7026873249299719,0.7082895658263306
Green,0.8807290496517637,0.7852168052123119,0.7755560548191418,0.7871545720062907,0.8622219725904291,0.8629521455852618
Red,0.9447291729474425,0.9028238368003215,0.9008474860148059,0.9022878772652664,0.9248651726794628,0.929487823669313
White,0.8769961519961521,0.7831529581529582,0.7698051948051948,0.7797138047138048,0.8462962962962962,0.8493025493025493
