Color,P2_A,P2_B,P2_WR,P4_A,P4_B,P4_WR,P6_A,P6_B,P6_WR,P8_A,P8_B,P8_WR,P10_A,P10_B,P10_WR
Black,12.40625,7.972222222222222,6.847222222222222,11.833333333333334,6.635416666666667,7.333333333333333,13.21875,6.833333333333333,16.25,11.59375,5.916666666666667,15.1875,10.572916666666666,4.958333333333333,12.427083333333334
Blue,155.61458333333334,144.2222222222222,225.04166666666663,99.59375,88.02083333333333,224.01041666666663,104.78125,81.25,282.0,83.625,55.72916666666666,260.1875,78.75,55.645833333333336,265.1875
Green,158.67708333333334,158.16666666666666,326.7291666666667,92.32291666666669,84.35416666666667,327.5416666666667,91.85416666666669,64.5,420.0520833333333,66.63541666666667,44.66666666666666,356.1354166666667,62.91666666666666,44.239583333333336,362.7291666666667
Red,97.42708333333331,90.125,262.0729166666667,44.47916666666666,35.625,260.7916666666667,39.22916666666666,24.604166666666668,321.1354166666667,29.229166666666668,21.25,311.1666666666667,30.28125,17.1875,313.4375
White,379.0833333333333,368.375,775.1041666666666,208.71875,193.40625,769.5416666666666,206.4375,154.41666666666666,929.6770833333334,154.44791666666666,108.83333333333331,854.0416666666666,149.71875,106.55208333333331,868.09375
