Color,Order,P4_R,P60_R,P80_W,P40_W,P40_A,P2_B,P80_WR,P80_A,P100_blank,BG_rbru0,P2_W,P2_A,BG_rbru1,P4_blank,P6_R,P10_WR,P6_A,P10_NoR,P2_R,P6_W,P4_B,P2_blank,P80_R,P4_W,P60_W,P6_B,P2_NoR,P40_R,P80_blank,P60_A,P4_A,P60_NoR,P20_WR,P8_blank,P20_blank,P20_A,P100_WR,P20_W,P20_R,P8_NoR,P60_WR,P80_NoR,P40_blank,P20_NoR,P6_blank,P4_NoR,P2_WR,BG_1,BG_0,P10_blank,P8_WR,P10_R,P8_A,P60_blank,P4_WR,P8_W,P8_B,P100_A,P100_W,P40_WR,P100_R,P10_B,P100_NoR,P6_WR,P40_NoR,P10_W,P6_NoR,P8_R,P10_A
Black,12.5,5.666666666666667,6.53125,5.798611111111111,6.864583333333333,5.59375,7.972222222222222,5.611111111111111,5.635416666666667,7.833333333333333,4.982638888888888,7.28125,12.40625,4.989583333333333,7.1875,11.96875,12.427083333333334,13.21875,15.072916666666666,7.753472222222222,23.875,6.635416666666667,7.305555555555556,6.052083333333333,7.302083333333333,6.8125,6.833333333333333,8.614583333333334,4.166666666666667,7.927083333333333,6.135416666666667,11.833333333333334,8.395833333333334,8.145833333333334,16.125,5.854166666666667,5.614583333333333,5.128472222222222,8.78125,5.791666666666667,14.625,5.5625,6.427083333333333,6.833333333333333,8.479166666666666,16.114583333333332,7.677083333333333,6.847222222222222,5.260416666666667,5.284722222222222,15.145833333333334,15.1875,10.8125,11.59375,6.552083333333333,7.333333333333333,16.958333333333332,5.916666666666667,5.28125,7.027777777777778,6.052083333333333,5.0625,4.958333333333333,6.635416666666667,16.25,7.177083333333333,14.260416666666666,17.0,11.21875,10.572916666666666
Blue,12.5,128.42708333333334,127.14583333333333,333.25,270.3125,97.89583333333333,144.2222222222222,296.2395833333333,70.76041666666667,241.36458333333334,236.9375,272.1458333333333,155.61458333333334,240.85416666666666,185.375,147.51041666666666,265.1875,104.78125,291.4270833333333,152.90625,306.6875,88.02083333333333,200.9375,101.9375,221.19791666666666,286.6666666666667,81.25,265.0520833333333,140.8125,237.85416666666666,94.91666666666667,99.59375,307.125,265.5833333333333,237.41666666666666,197.36458333333334,90.375,310.4270833333333,284.3229166666667,122.91666666666667,269.2395833333333,244.21875,277.4166666666667,231.63541666666666,291.7395833333333,238.11458333333334,251.98958333333334,225.04166666666666,237.78125,238.0,233.73958333333334,260.1875,107.79166666666667,83.625,218.1875,224.01041666666666,279.4895833333333,55.729166666666664,69.42708333333333,317.9270833333333,249.23958333333334,94.05208333333333,55.645833333333336,293.15625,282.0,293.7083333333333,274.6145833333333,302.4166666666667,107.84375,78.75
Green,12.5,142.33333333333334,120.23958333333333,535.96875,350.8229166666667,83.25,158.16666666666666,453.59375,51.104166666666664,328.9583333333333,369.1666666666667,375.4791666666667,158.67708333333334,374.6041666666667,282.125,164.71875,362.7291666666667,91.85416666666667,423.15625,182.13541666666666,455.7291666666667,84.35416666666667,299.7083333333333,91.40625,327.0625,392.6354166666667,64.5,384.96875,150.91666666666666,364.3541666666667,78.94791666666667,92.32291666666667,448.75,411.625,335.6666666666667,305.59375,79.66666666666667,441.09375,439.84375,122.5625,374.375,338.1458333333333,388.9270833333333,327.53125,453.4583333333333,347.4270833333333,362.09375,326.7291666666667,371.3958333333333,370.9166666666667,314.03125,356.1354166666667,117.09375,66.63541666666667,326.6354166666667,327.5416666666667,384.0520833333333,44.666666666666664,50.833333333333336,461.8854166666667,315.9583333333333,81.5625,44.239583333333336,385.2708333333333,420.0520833333333,441.4375,374.875,410.28125,112.71875,62.916666666666664
Red,12.5,78.1875,54.677083333333336,354.8020833333333,286.5625,30.833333333333332,90.125,307.2395833333333,23.364583333333332,291.0104166666667,303.7708333333333,315.59375,97.42708333333333,305.90625,251.54166666666666,99.21875,313.4375,39.229166666666664,367.5208333333333,125.51041666666667,366.2083333333333,35.625,248.98958333333334,42.354166666666664,295.4479166666667,317.4375,24.604166666666668,314.78125,68.46875,283.0625,30.385416666666668,44.479166666666664,344.4479166666667,309.5,288.34375,271.3541666666667,30.21875,327.8645833333333,326.5104166666667,65.96875,327.8333333333333,288.8333333333333,320.0208333333333,274.0833333333333,331.9270833333333,286.9583333333333,311.4583333333333,262.0729166666667,311.1666666666667,310.96875,294.4166666666667,311.1666666666667,68.75,29.229166666666668,274.625,260.7916666666667,333.1875,21.25,21.927083333333332,321.6979166666667,269.90625,35.135416666666664,17.1875,324.28125,321.1354166666667,327.5833333333333,345.0,335.0104166666667,69.82291666666667,30.28125
White,12.5,354.5520833333333,304.6354166666667,962.6770833333334,835.6041666666666,199.40625,368.375,949.3958333333334,133.14583333333334,809.3645833333334,858.1041666666666,899.59375,379.0833333333333,868.1354166666666,678.46875,420.21875,868.09375,206.4375,948.0833333333334,466.0104166666667,952.8958333333334,193.40625,709.21875,233.98958333333334,793.6041666666666,920.3333333333334,154.41666666666666,896.75,362.9270833333333,831.4479166666666,190.82291666666666,208.71875,953.1875,915.28125,788.78125,735.5625,187.84375,952.1979166666666,947.9791666666666,307.4479166666667,873.5104166666666,825.5,917.4895833333334,785.8958333333334,951.0833333333334,800.8958333333334,866.0416666666666,775.1041666666666,866.4270833333334,866.25,773.4791666666666,854.0416666666666,323.75,154.44791666666666,775.40625,769.5416666666666,903.0729166666666,108.83333333333333,130.54166666666666,953.6875,796.6354166666666,207.53125,106.55208333333333,926.75,929.6770833333334,949.6666666666666,903.2708333333334,937.90625,328.3229166666667,149.71875
