Order,Color,P4_R,P60_R,P80_W,P40_W,P40_A,P2_B,P80_WR,P80_A,P100_blank,BG_rbru0,P2_W,P2_A,BG_rbru1,P4_blank,P6_R,P10_WR,P6_A,P10_NoR,P2_R,P6_W,P4_B,P2_blank,P80_R,P4_W,P60_W,P6_B,P2_NoR,P40_R,P80_blank,P60_A,P4_A,P60_NoR,P20_WR,P8_blank,P20_blank,P20_A,P100_WR,P20_W,P20_R,P8_NoR,P60_WR,P80_NoR,P40_blank,P20_NoR,P6_blank,P4_NoR,P2_WR,BG_1,BG_0,P10_blank,P8_WR,P10_R,P8_A,P60_blank,P4_WR,P8_W,P8_B,P100_A,P100_W,P40_WR,P100_R,P10_B,P100_NoR,P6_WR,P40_NoR,P10_W,P6_NoR,P8_R,P10_A
8,Green,142.25,119.5,535.0,351.25,84.75,160.33333333333334,454.0,52.0,328.5,366.75,376.25,160.75,371.75,280.25,164.75,358.5,92.5,420.25,183.25,456.5,84.5,299.25,90.25,325.5,395.25,62.25,386.25,151.0,365.75,76.25,93.0,448.5,412.0,334.0,308.25,80.5,440.25,440.25,123.25,372.0,337.75,386.75,324.5,451.75,347.25,361.25,326.25,372.25,371.5,316.75,359.0,119.5,67.25,326.75,329.75,382.0,45.0,50.5,466.5,309.25,82.75,43.5,383.75,420.25,439.5,375.75,409.5,113.25,64.25
8,Red,80.5,56.0,355.25,287.75,31.75,89.33333333333333,310.25,23.0,291.5,305.0,318.25,97.25,306.5,251.75,101.75,316.25,39.0,369.75,125.75,365.5,36.25,249.0,43.0,293.25,320.25,23.75,312.5,68.25,281.0,32.25,44.5,343.25,309.5,288.25,270.75,30.0,327.25,328.25,65.5,328.5,288.0,319.5,273.5,334.0,287.5,311.0,263.25,310.75,310.5,294.5,311.25,69.5,30.0,275.75,260.75,332.75,20.25,21.75,321.0,269.75,35.25,17.75,323.75,321.75,326.75,346.25,333.0,71.25,31.0
8,White,358.0,307.5,965.0,834.5,199.5,366.0,950.0,132.25,810.75,859.5,897.75,377.75,869.75,678.25,425.0,874.75,207.25,947.75,468.75,952.25,192.5,709.0,235.0,792.5,919.5,154.5,897.5,364.5,831.5,189.5,207.75,953.25,913.75,788.0,737.5,187.25,951.0,948.0,307.75,874.5,823.75,923.75,789.75,950.5,796.25,863.75,773.5,866.25,867.75,776.25,852.75,328.0,156.25,775.25,770.25,906.0,108.25,129.0,954.0,794.25,209.25,107.5,929.75,933.75,950.0,901.0,937.5,334.0,148.5
9,Black,5.75,7.0,6.25,6.0,5.5,7.333333333333333,4.75,5.75,7.5,5.75,7.0,13.0,4.75,7.25,12.25,12.0,13.5,15.75,7.75,22.5,7.25,7.25,6.75,7.25,7.5,6.75,9.0,4.25,8.25,6.5,11.5,8.0,7.5,17.5,5.5,5.5,5.0,9.25,6.25,15.25,5.75,6.5,6.0,8.5,16.5,7.5,6.75,5.25,5.5,15.5,15.25,10.75,11.0,7.0,7.0,16.75,5.5,5.5,7.25,6.75,5.0,5.0,7.0,16.25,6.75,13.5,17.75,11.75,11.0
9,Blue,130.75,125.5,334.0,269.75,98.25,145.33333333333334,294.75,72.5,238.25,237.25,273.75,153.75,242.0,184.25,147.25,266.5,104.25,291.0,153.5,306.75,87.75,204.0,102.75,222.0,287.75,81.0,265.5,142.0,237.75,92.75,99.0,304.5,266.75,239.5,195.75,89.5,307.75,283.5,123.25,269.0,244.0,278.5,232.5,293.25,237.25,251.25,226.0,239.25,238.75,233.75,262.0,108.25,85.0,217.5,224.75,279.25,55.25,68.25,318.5,250.0,96.0,54.5,293.0,283.75,293.25,274.0,301.5,109.75,78.5
9,Green,144.25,119.75,537.75,349.75,84.0,160.0,453.5,51.5,326.75,371.75,376.25,158.5,372.25,282.0,165.75,357.5,92.5,425.5,183.5,458.75,83.75,300.25,90.25,325.25,397.25,64.25,385.5,149.25,363.5,78.0,90.5,449.75,411.75,336.75,305.0,78.75,442.5,439.5,122.0,369.25,336.25,390.5,328.0,453.75,346.25,362.25,328.75,372.5,372.25,314.25,355.25,118.5,66.25,327.25,327.5,382.0,44.25,51.0,464.25,310.75,80.25,44.25,385.5,417.25,441.5,374.5,409.75,113.0,61.5
9,Red,78.25,55.75,353.0,287.25,31.0,90.33333333333331,306.0,23.25,290.0,305.5,315.0,99.25,306.0,249.0,101.0,313.0,39.75,368.75,124.25,367.0,35.25,246.25,42.5,295.75,317.25,24.0,317.75,69.0,285.5,30.75,44.75,342.25,309.5,288.0,270.25,30.5,329.0,327.0,67.25,327.75,289.75,318.25,276.0,329.75,286.0,314.25,261.0,310.75,310.5,292.25,312.0,69.0,28.75,274.75,259.75,332.75,21.75,21.25,323.0,269.75,36.0,17.75,326.0,320.0,326.25,345.0,337.75,70.75,29.75
9,White,355.75,308.25,961.25,833.0,197.5,370.6666666666667,948.25,132.75,807.5,856.0,900.75,376.75,867.25,675.0,424.0,874.5,207.25,947.5,469.25,953.5,193.75,711.5,232.0,795.0,917.75,155.0,896.75,362.5,831.25,188.25,209.0,952.0,913.0,788.5,736.25,189.25,953.75,947.25,308.0,870.0,822.5,917.0,788.5,951.75,801.0,867.25,776.25,866.75,866.5,772.0,853.0,325.75,154.0,776.0,767.75,901.0,107.25,131.5,953.5,794.5,209.25,107.25,929.5,931.25,949.0,902.0,938.0,334.25,150.0
10,Black,5.5,6.75,5.5,7.25,5.75,6.666666666666667,6.0,6.5,8.0,5.0,7.5,12.5,4.75,7.5,11.75,13.0,13.5,16.0,7.5,24.25,6.25,7.75,6.25,7.75,6.75,7.25,8.5,4.5,9.0,5.75,11.5,8.75,8.75,16.5,5.75,6.25,4.75,8.75,5.25,14.75,5.25,6.0,7.25,9.0,16.0,7.5,7.0,5.0,5.75,15.75,14.75,11.0,12.0,6.75,7.5,16.75,6.25,4.5,8.0,5.75,5.0,4.75,5.75,16.25,7.0,14.75,16.25,11.75,9.75
10,Blue,129.5,127.25,332.5,270.0,99.25,145.0,295.0,72.0,241.0,235.5,272.5,154.0,238.75,186.25,147.25,264.5,106.5,293.0,153.25,309.25,89.5,201.25,100.25,220.25,286.5,80.75,264.75,141.25,239.25,96.5,100.5,307.25,266.5,238.25,197.5,90.25,310.0,285.75,123.5,269.25,244.25,276.25,230.25,293.25,238.75,251.0,224.75,235.0,238.25,234.5,261.25,108.0,82.75,219.0,224.25,281.0,56.75,69.5,318.5,249.0,95.75,56.75,290.5,283.75,294.0,278.75,301.25,107.75,79.0
