Color,P2_B,P4_B,P6_B,P8_B,P10_B
Black,0.5085413929040736,0.2555847568988174,0.293035479632063,0.11957950065703025,0.06176084099868601
Blue,0.39402427637721765,0.6301645658263306,0.6586134453781513,0.7658438375350141,0.7661939775910364
Green,0.5735789710177489,0.7725791956863626,0.8261064929229387,0.879577623006066,0.8807290496517637
Red,0.7101798814189528,0.8854386493819717,0.9208789736374903,0.9316651592804743,0.9447291729474425
White,0.5747474747474748,0.7767316017316017,0.8217412217412218,0.8743626743626745,0.8769961519961521
