Color,P2_B,P4_B,P6_B,BG_0,P8_B,P10_B
Black,7.972222222222222,6.635416666666667,6.833333333333333,5.284722222222222,5.916666666666667,4.958333333333333
Blue,144.2222222222222,88.02083333333333,81.25,238.0,55.729166666666664,55.645833333333336
Green,158.16666666666666,84.35416666666667,64.5,370.9166666666667,44.666666666666664,44.239583333333336
Red,90.125,35.625,24.604166666666668,310.96875,21.25,17.1875
White,368.375,193.40625,154.41666666666666,866.25,108.83333333333331,106.55208333333331
