Concentrate,Blue,Green,Red,White
2,86.28696305401898,52.50156956982962,47.36831250257806,52.47412982126058
4,103.54160378307677,75.01490362323639,70.4099347795486,74.86734528128216
6,112.1331019391836,77.41238051888938,78.37780935838728,83.39029008728389
8,111.52969275865811,84.9862058951648,84.18456380449868,87.25667170805484
10,111.69372063220844,86.7557657049117,84.69171184080679,87.72574006743704
