Color,P10_A,P10_WR,P20_A,P20_WR,P40_A,P40_WR,P60_A,P60_WR,P80_A,P80_WR,P100_A,P100_WR
Black,10.572916666666666,12.427083333333334,5.614583333333333,8.145833333333334,5.59375,6.052083333333333,6.135416666666667,5.5625,5.635416666666667,5.611111111111111,5.28125,5.128472222222222
Blue,78.75,265.1875,90.375,265.5833333333333,97.89583333333331,249.23958333333331,94.91666666666669,244.21875,70.76041666666667,296.2395833333333,69.42708333333333,310.4270833333333
Green,62.91666666666666,362.7291666666667,79.66666666666667,411.625,83.25,315.9583333333333,78.94791666666667,338.1458333333333,51.10416666666666,453.59375,50.833333333333336,441.09375
Red,30.28125,313.4375,30.21875,309.5,30.83333333333333,269.90625,30.385416666666668,288.8333333333333,23.36458333333333,307.2395833333333,21.92708333333333,327.8645833333333
White,149.71875,868.09375,187.84375,915.28125,199.40625,796.6354166666666,190.82291666666663,825.5,133.14583333333334,949.3958333333334,130.54166666666666,952.1979166666666
