Color,P40_A,P80_A,P60_A,P20_A,BG_0,P100_A,P10_B
Black,5.59375,5.635416666666667,6.135416666666667,5.614583333333333,5.284722222222222,5.28125,4.958333333333333
Blue,97.89583333333331,70.76041666666667,94.91666666666669,90.375,238.0,69.42708333333333,55.645833333333336
Green,83.25,51.104166666666664,78.94791666666667,79.66666666666667,370.9166666666667,50.833333333333336,44.239583333333336
Red,30.833333333333332,23.364583333333332,30.385416666666668,30.21875,310.96875,21.927083333333332,17.1875
White,199.40625,133.14583333333334,190.82291666666663,187.84375,866.25,130.54166666666666,106.55208333333331
