No.,Order,Color,Intensity
1,1,White,948
2,2,White,943
3,3,White,936
4,4,White,944
5,5,White,939
6,6,White,947
7,7,White,940
8,8,White,940
9,9,White,935
10,10,White,939
11,11,White,941
12,12,White,947
13,13,White,946
14,14,White,940
15,15,White,946
16,16,White,948
17,17,White,947
18,18,White,943
19,19,White,938
20,20,White,943
21,21,White,939
22,22,White,944
23,23,White,943
24,24,White,942
30,1,Red,340
31,2,Red,340
32,3,Red,337
33,4,Red,342
34,5,Red,336
35,6,Red,343
36,7,Red,341
37,8,Red,341
38,9,Red,337
39,10,Red,341
40,11,Red,342
41,12,Red,342
42,13,Red,339
43,14,Red,338
44,15,Red,341
45,16,Red,337
46,17,Red,341
47,18,Red,342
48,19,Red,337
49,20,Red,339
50,21,Red,339
51,22,Red,339
52,23,Red,340
53,24,Red,336
60,1,Green,417
61,2,Green,411
62,3,Green,414
63,4,Green,421
64,5,Green,422
65,6,Green,420
66,7,Green,419
67,8,Green,423
68,9,Green,423
69,10,Green,414
70,11,Green,424
71,12,Green,421
72,13,Green,414
73,14,Green,417
74,15,Green,422
75,16,Green,418
76,17,Green,422
77,18,Green,417
78,19,Green,418
79,20,Green,418
80,21,Green,417
81,22,Green,421
82,23,Green,417
83,24,Green,417
89,1,Blue,274
90,2,Blue,273
91,3,Blue,267
92,4,Blue,268
93,5,Blue,273
94,6,Blue,270
95,7,Blue,272
96,8,Blue,274
97,9,Blue,267
98,10,Blue,271
99,11,Blue,271
100,12,Blue,270
101,13,Blue,268
102,14,Blue,268
103,15,Blue,268
104,16,Blue,267
105,17,Blue,267
106,18,Blue,271
107,19,Blue,270
108,20,Blue,273
109,21,Blue,271
110,22,Blue,271
111,23,Blue,275
112,24,Blue,269
119,1,Black,4
120,2,Black,3
121,3,Black,3
122,4,Black,3
123,5,Black,4
124,6,Black,4
125,7,Black,4
126,8,Black,3
127,9,Black,4
128,10,Black,3
129,11,Black,3
130,12,Black,3
131,13,Black,3
132,14,Black,4
133,15,Black,3
134,16,Black,3
135,17,Black,3
136,18,Black,3
137,19,Black,4
138,20,Black,3
139,21,Black,3
140,22,Black,3
141,23,Black,3
142,24,Black,3
178,1,White,942
179,2,White,945
180,3,White,947
181,4,White,938
182,5,White,943
183,6,White,940
184,7,White,945
185,8,White,941
186,9,White,942
187,10,White,943
188,11,White,944
189,12,White,944
190,13,White,941
191,14,White,937
192,15,White,945
193,16,White,946
194,17,White,944
195,18,White,944
196,19,White,946
197,20,White,944
198,21,White,946
199,22,White,941
200,23,White,936
201,24,White,941
207,1,Red,337
208,2,Red,337
209,3,Red,340
210,4,Red,343
211,5,Red,341
212,6,Red,343
213,7,Red,337
214,8,Red,341
215,9,Red,336
216,10,Red,335
217,11,Red,339
218,12,Red,340
219,13,Red,339
220,14,Red,340
221,15,Red,344
222,16,Red,335
223,17,Red,335
224,18,Red,344
225,19,Red,341
226,20,Red,336
227,21,Red,336
228,22,Red,336
229,23,Red,337
230,24,Red,337
237,1,Green,416
238,2,Green,421
239,3,Green,422
240,4,Green,418
241,5,Green,418
242,6,Green,418
243,7,Green,416
244,8,Green,419
245,9,Green,413
246,10,Green,420
247,11,Green,421
248,12,Green,421
249,13,Green,423
250,14,Green,418
251,15,Green,419
252,16,Green,419
253,17,Green,416
254,18,Green,414
255,19,Green,417
256,20,Green,420
257,21,Green,409
258,22,Green,418
259,23,Green,420
260,24,Green,415
266,1,Blue,272
267,2,Blue,268
268,3,Blue,267
269,4,Blue,270
270,5,Blue,271
271,6,Blue,274
272,7,Blue,269
273,8,Blue,267
274,9,Blue,267
275,10,Blue,271
276,11,Blue,269
277,12,Blue,271
278,13,Blue,271
279,14,Blue,267
280,15,Blue,270
281,16,Blue,269
282,17,Blue,272
283,18,Blue,274
284,19,Blue,274
285,20,Blue,274
286,21,Blue,272
287,22,Blue,269
288,23,Blue,270
289,24,Blue,265
296,1,Black,4
297,2,Black,3
298,3,Black,4
299,4,Black,3
300,5,Black,4
301,6,Black,3
302,7,Black,4
303,8,Black,4
304,9,Black,4
305,10,Black,4
306,11,Black,4
307,12,Black,4
308,13,Black,4
309,14,Black,3
310,15,Black,3
311,16,Black,4
312,17,Black,4
313,18,Black,3
314,19,Black,3
315,20,Black,4
316,21,Black,3
317,22,Black,4
318,23,Black,3
319,24,Black,3
355,1,White,943
356,2,White,944
357,3,White,944
358,4,White,946
359,5,White,948
360,6,White,940
361,7,White,941
362,8,White,944
363,9,White,942
364,10,White,940
365,11,White,942
366,12,White,941
367,13,White,944
368,14,White,936
369,15,White,947
370,16,White,945
371,17,White,939
372,18,White,947
373,19,White,946
374,20,White,940
375,21,White,945
376,22,White,940
377,23,White,945
378,24,White,947
385,1,Red,338
386,2,Red,343
387,3,Red,337
388,4,Red,340
389,5,Red,337
390,6,Red,340
391,7,Red,340
392,8,Red,338
393,9,Red,337
394,10,Red,337
395,11,Red,337
396,12,Red,335
397,13,Red,337
398,14,Red,335
399,15,Red,336
400,16,Red,340
401,17,Red,342
402,18,Red,342
403,19,Red,336
404,20,Red,338
405,21,Red,332
406,22,Red,339
407,23,Red,341
408,24,Red,336
414,1,Green,419
415,2,Green,415
416,3,Green,414
417,4,Green,419
418,5,Green,416
419,6,Green,418
420,7,Green,410
421,8,Green,424
422,9,Green,421
423,10,Green,424
424,11,Green,420
425,12,Green,418
426,13,Green,418
427,14,Green,415
428,15,Green,420
429,16,Green,418
430,17,Green,421
431,18,Green,419
432,19,Green,413
433,20,Green,424
434,21,Green,424
435,22,Green,420
436,23,Green,419
437,24,Green,421
444,1,Blue,269
445,2,Blue,265
446,3,Blue,268
447,4,Blue,273
448,5,Blue,267
449,6,Blue,270
450,7,Blue,271
451,8,Blue,270
452,9,Blue,274
453,10,Blue,269
454,11,Blue,269
455,12,Blue,274
456,13,Blue,274
457,14,Blue,270
458,15,Blue,268
459,16,Blue,268
460,17,Blue,269
461,18,Blue,273
462,19,Blue,274
463,20,Blue,269
464,21,Blue,268
465,22,Blue,271
466,23,Blue,270
467,24,Blue,272
473,1,Black,4
474,2,Black,4
475,3,Black,3
476,4,Black,3
477,5,Black,5
478,6,Black,3
479,7,Black,3
480,8,Black,4
481,9,Black,3
482,10,Black,3
483,11,Black,4
484,12,Black,3
485,13,Black,4
486,14,Black,4
487,15,Black,4
488,16,Black,4
489,17,Black,3
490,18,Black,3
491,19,Black,4
492,20,Black,4
493,21,Black,3
494,22,Black,3
495,23,Black,4
496,24,Black,3
532,1,White,944
533,2,White,944
534,3,White,941
535,4,White,943
536,5,White,948
537,6,White,946
538,7,White,938
539,8,White,942
540,9,White,941
541,10,White,941
542,11,White,941
543,12,White,941
544,13,White,935
545,14,White,940
546,15,White,939
547,16,White,946
548,17,White,934
549,18,White,943
550,19,White,945
551,20,White,941
552,21,White,940
553,22,White,940
554,23,White,941
555,24,White,947
562,1,Red,342
563,2,Red,337
564,3,Red,343
565,4,Red,342
566,5,Red,336
567,6,Red,337
568,7,Red,339
569,8,Red,342
570,9,Red,338
571,10,Red,338
572,11,Red,338
573,12,Red,339
574,13,Red,338
575,14,Red,338
576,15,Red,342
577,16,Red,340
578,17,Red,337
579,18,Red,342
580,19,Red,340
581,20,Red,335
582,21,Red,335
583,22,Red,332
584,23,Red,333
585,24,Red,337
591,1,Green,422
592,2,Green,422
593,3,Green,421
594,4,Green,417
595,5,Green,418
596,6,Green,420
597,7,Green,419
598,8,Green,420
599,9,Green,422
600,10,Green,412
601,11,Green,419
602,12,Green,418
603,13,Green,417
604,14,Green,422
605,15,Green,420
606,16,Green,420
607,17,Green,420
608,18,Green,415
609,19,Green,422
610,20,Green,422
611,21,Green,421
612,22,Green,417
613,23,Green,412
614,24,Green,418
621,1,Blue,270
622,2,Blue,273
623,3,Blue,272
624,4,Blue,272
625,5,Blue,265
626,6,Blue,267
627,7,Blue,270
628,8,Blue,273
629,9,Blue,274
630,10,Blue,271
631,11,Blue,267
632,12,Blue,269
633,13,Blue,274
634,14,Blue,272
635,15,Blue,272
636,16,Blue,272
637,17,Blue,269
638,18,Blue,270
639,19,Blue,266
640,20,Blue,272
641,21,Blue,267
642,22,Blue,267
643,23,Blue,270
644,24,Blue,274
650,1,Black,3
651,2,Black,4
652,3,Black,4
653,4,Black,3
654,5,Black,4
655,6,Black,5
656,7,Black,4
657,8,Black,5
658,9,Black,3
659,10,Black,4
660,11,Black,4
661,12,Black,4
662,13,Black,4
663,14,Black,4
664,15,Black,3
665,16,Black,4
666,17,Black,4
667,18,Black,3
668,19,Black,3
669,20,Black,4
670,21,Black,4
671,22,Black,3
672,23,Black,3
673,24,Black,3
