Color,N10_A,N10_B,N10_WR,N20_A,N20_B,N20_WR,N40_A,N40_B,N40_WR,N60_A,N60_B,N60_WR,N80_A,N80_B,N80_WR,N100_A,N100_B,N100_WR
Black,4.1875,4.114583333333333,3.25,4.239583333333333,4.197916666666667,4.302083333333333,4.135416666666667,4.15625,4.322916666666667,3.9791666666666665,4.072916666666667,4.177083333333333,4.427083333333333,4.177083333333333,4.5625,3.9895833333333335,4.03125,4.135416666666667
Blue,29.67708333333333,35.364583333333336,258.5833333333333,14.90625,22.05208333333333,211.63541666666663,9.6875,12.78125,215.375,22.697916666666668,14.958333333333334,207.83333333333331,12.1875,10.541666666666666,253.77083333333331,10.229166666666666,9.25,243.6875
Green,120.38541666666669,124.02083333333331,407.9895833333333,67.35416666666667,79.3125,344.75,19.229166666666668,37.82291666666666,296.7083333333333,57.208333333333336,42.145833333333336,337.6770833333333,19.5625,16.166666666666668,374.6041666666667,14.041666666666666,14.427083333333334,378.0520833333333
Red,238.59375,231.29166666666663,318.65625,210.79166666666663,205.40625,315.09375,108.77083333333331,122.71875,311.2708333333333,111.75,105.03125,326.625,39.38541666666666,18.5625,321.8854166666667,24.03125,21.64583333333333,321.7291666666667
White,376.3854166666667,379.53125,925.0625,282.5729166666667,290.875,825.2291666666666,128.86458333333334,160.08333333333334,778.0520833333334,171.9375,148.20833333333334,825.1770833333334,60.875,36.53125,893.625,38.85416666666666,37.020833333333336,888.8333333333334
