Color,N2_blank,N2_WR,N4_blank,N4_WR,N6_blank,N6_WR,N8_blank,N8_WR,N10_blank,N10_WR
Black,5.605263157894737,5.184210526315789,4.381578947368421,4.407894736842105,4.105263157894737,3.8421052631578942,3.276315789473684,3.4473684210526314,3.4210526315789473,3.25
Blue,220.8684210526316,252.3421052631579,212.03947368421052,257.5657894736842,210.47368421052633,270.9868421052632,206.57894736842104,243.19736842105263,211.97368421052633,258.4342105263158
Green,343.4868421052632,411.0,331.0263157894737,398.4342105263158,312.75,393.10526315789474,319.2763157894737,396.25,327.89473684210526,407.85526315789474
Red,279.9605263157895,336.5657894736842,273.8421052631579,320.1578947368421,281.32894736842104,334.7631578947368,275.60526315789474,328.38157894736844,273.88157894736844,318.7236842105263
White,797.1315789473684,930.7368421052632,775.4473684210526,914.092105263158,765.3421052631579,932.1447368421052,764.6184210526316,911.1973684210526,774.2763157894736,925.2763157894736
