Color,N4_WR,N4_NoR,N6_WR,N6_NoR,N8_WR,N8_NoR,N10_WR,N10_NoR
Black,4.407894736842105,4.2894736842105265,3.8421052631578942,3.723684210526316,3.4473684210526314,3.289473684210526,3.25,3.3157894736842106
Blue,257.5657894736842,272.2368421052632,270.9868421052632,274.9736842105263,243.19736842105263,264.36842105263156,258.4342105263158,240.18421052631575
Green,398.4342105263158,397.3684210526315,393.10526315789474,384.6578947368421,396.25,412.8815789473685,407.85526315789474,381.5
Red,320.1578947368421,327.3157894736842,334.7631578947368,336.6578947368421,328.38157894736844,336.07894736842104,318.7236842105263,315.10526315789474
White,914.092105263158,929.3684210526316,932.1447368421052,929.1973684210526,911.1973684210526,939.0131578947368,925.2763157894736,888.5131578947369
