Color,N2_blank,N4_blank,N6_blank,N8_blank,N10_blank,N20_blank,N40_blank,N60_blank,N80_blank,N100_blank
Black,5.605263157894737,4.381578947368421,4.105263157894737,3.276315789473684,3.4210526315789473,4.618421052631579,4.473684210526316,4.302631578947368,4.973684210526316,4.421052631578948
Blue,220.8684210526316,212.03947368421052,210.47368421052633,206.57894736842104,211.97368421052633,207.48684210526315,191.01315789473685,203.8684210526316,214.22368421052633,214.8947368421053
Green,343.4868421052632,331.0263157894737,312.75,319.2763157894737,327.89473684210526,329.0657894736842,312.05263157894734,331.2368421052632,311.5,317.75
Red,279.9605263157895,273.8421052631579,281.32894736842104,275.60526315789474,273.88157894736844,273.2631578947368,279.44736842105266,283.0131578947368,283.11842105263156,279.64473684210526
White,797.1315789473684,775.4473684210526,765.3421052631579,764.6184210526316,774.2763157894736,768.1842105263158,742.3421052631579,776.8421052631579,764.4342105263158,770.7763157894736
