Color,sd_Order,sd_N10_blank.csv,sd_N10_NoR.csv,sd_N4_blank.csv,sd_N20_R.csv,sd_N10_WR.csv,sd_N2n_NoR.csv,sd_N20_A.csv,sd_N20_W.csv,sd_N80_WR.csv,sd_N100_blank.csv,sd_N20_B.csv,sd_N40_blank.csv,sd_N2_blank.csv,sd_N2_W.csv,sd_N8_blank.csv,sd_N40_R.csv,sd_N80_R.csv,sd_N60_W.csv,sd_N2n_R.csv,sd_N8_NoR.csv,sd_N6_R.csv,sd_N60_A.csv,sd_N2_A.csv,sd_N4_R.csv,sd_N60_B.csv,sd_N2_B.csv,sd_N6_B.csv,sd_N2n_blank.csv,sd_N4_W.csv,sd_N2n_B.csv,sd_N4_A.csv,sd_N80_B.csv,sd_N100_WR.csv,sd_N40_B.csv,sd_N2n_WR.csv,sd_N60_NoR.csv,sd_N60_blank.csv,sd_N2_R.csv,sd_N40_W.csv,sd_N20_WR.csv,sd_N60_R.csv,sd_N6_A.csv,sd_N80_W.csv,sd_N4_B.csv,sd_N2n_W.csv,sd_N6_W.csv,sd_N80_A.csv,sd_N40_A.csv,sd_N8_B.csv,sd_N6_WR.csv,sd_N10_W.csv,sd_N10_A.csv,sd_N80_blank.csv,sd_N8_A.csv,sd_N10_B.csv,sd_N8_W.csv,sd_N6_blank.csv,sd_N20_NoR.csv,sd_N4_NoR.csv,sd_N8_R.csv,sd_N4_WR.csv,sd_N80_NoR.csv,sd_BG_1.csv,sd_N8_WR.csv,sd_N10_R.csv,sd_N60_WR.csv,sd_BG_0.csv,sd_N40_NoR.csv,sd_N6_NoR.csv,sd_N100_R.csv,sd_N40_WR.csv,sd_N20_blank.csv,sd_N100_NoR.csv,sd_N100_W.csv,sd_N2_WR.csv,sd_N100_A.csv,sd_N100_B.csv
Black,15.0,0.3787448643529806,0.423234309701441,0.4654830765107613,0.4139496826012805,0.4028789757041711,0.3635219395020797,0.3806342530299408,0.4414079655762173,0.5113851540683167,0.4840080222477175,0.4684116498089627,0.5106604166182831,0.5795762627634675,0.5343620799649734,0.3361448076814804,0.4013630346150647,0.5010391846212411,0.5317994884822331,0.5750874399127945,0.423234309701441,0.4236077572892949,0.3572470368544581,0.3750472451413805,0.453994613562433,0.4877277991849916,0.4180207494007344,0.5051102514206951,0.4220918162001884,0.4414079655762172,0.5339811666047268,0.5269003753527339,0.4814160538463975,0.3791183119408344,0.3461763299573487,0.5658471212759991,0.4432383538365311,0.4573409429118534,0.3876338931275962,0.4373368987767633,0.4836567323855376,0.4861750154049128,0.3894642813879101,0.6151398366463399,0.5921629107496833,0.569918188075453,0.264988282997156,0.550742190270408,0.3869091556775626,0.4373368987767633,0.4976560125808483,0.423234309701441,0.4780697244969771,0.3383486435296481,0.4191632429019871,0.5251142955557851,0.5084565807701154,0.400220541113812,0.4128514975633929,0.3928474534283028,0.2935447510099803,0.4684116498089627,0.5544029667910358,0.4013630346150647,0.4150921761025331,0.4332658319773093,0.365389170453366,0.569918188075453,0.5047368038328411,0.4925236034344792,0.3876338931275963,0.4717948218493554,0.4862118580958851,0.3280026740825724,0.2449842388620658,0.4402654720749647,0.3754206927292343,0.4287844748990291
Blue,15.0,2.2511707424897613,5.371432689291122,2.412435404253628,1.526809821224914,3.248430747497117,3.2875474670842944,0.755998723675293,2.4008242842416307,2.9321571039213397,2.408975140712069,4.891159120536398,2.9729378781385116,2.75431860453951,2.8689767309004095,2.467251008800685,0.8451579589618367,0.8336694960135084,2.4645377043714927,3.992370459203789,2.5261391426428967,3.922906174347503,5.215756282345605,2.1339084775849453,3.132901858287694,3.302639200760961,2.5568169466696853,1.954450565380241,2.112532700585195,2.612589359153248,2.534442381669412,2.248172791168108,0.6687354980500112,2.8273378013594392,2.1794773930485287,2.320323245441843,2.863572242121889,2.4236053992807385,3.416340431240388,2.426921243059101,2.6286234780073623,0.9534910030352688,2.344303693006962,2.6253608979558543,1.555460247437332,2.203820579949243,2.5442560731444797,0.8522991674134693,0.6080621694990257,1.216754650775786,3.772239130617008,2.1644561896254957,1.3842957836116316,2.7594292209928,1.4857811034467574,1.6849090589078397,2.416491789483642,2.245183827013998,2.694140519352316,2.774701314580053,2.8044903642945935,3.558929982913752,2.6431101310192537,2.3910308138825327,2.92851378370818,2.447489138008589,2.289358315630365,2.2705359175978863,4.6158619979753155,2.466146479247628,0.8557384149857878,2.8802449798591723,2.532566828728934,2.2833526783361564,2.6211772477264956,2.496598089128497,0.7242058561773614,0.6497271748608882
Green,15.0,2.58499587630419,5.518348254827015,2.9399527340320906,9.775429769439226,3.532415221129376,4.334423438066263,1.923677358101343,10.424790163180994,2.695520349112814,3.07444919235205,17.11131278534641,3.586290270028345,3.1378279496413395,2.3873002938438805,2.6945199955934447,7.431986219277864,0.9191068742661485,5.661076673934507,6.9493378220185535,3.086545682798152,5.580044301840543,24.620501009382444,2.9097733232062937,6.749643539580127,17.68249629221928,3.113892003982364,2.6161633440599026,3.167318996492751,2.6090171370961515,3.1781422299562276,2.232897243154142,0.9859172535668584,3.0509960719771754,12.266196138714882,3.324611664882067,2.693674210383206,2.7288953046167954,5.526653432064897,15.841371539722829,2.4517808076648833,2.231458224730172,2.7969037549908684,2.6271775853622947,2.810102739733962,3.5715270023373065,3.129001162927394,1.430983610378593,1.241333259802743,2.5256211548058904,4.123365415384372,8.28262209678014,2.975189125186878,2.995407902008863,2.255563905700469,4.2888545390376365,2.955967587058588,3.0115710008813936,2.941405815063067,3.002214024013112,5.428721769657609,3.454984908626334,3.792688892518862,2.9314294227032778,3.26955545633704,5.416726640916621,3.1355342958420813,2.9244377287477814,15.06463580753736,2.5552570065364164,0.9425598583945356,10.50567139525099,3.700364692494216,4.003328190324475,3.0033701121639726,2.8038626102476276,1.140936904438643,1.5503210234090845
Red,15.0,2.948757038620562,3.3791865432014188,2.990333582945621,8.886511846603932,3.2150054981944276,3.1089451486028525,2.413434382557172,2.8794775571564704,3.1576644987207403,2.846483970257134,10.668493865094538,2.288877473565774,2.018789355967947,2.8343740367905186,2.6302552049312147,23.27809179848957,4.547967210980516,3.3445060529632813,3.8663378212609953,2.874541172904212,3.9733926920941975,50.57921085772746,2.8279409003034353,3.948741180282086,35.67796072209875,2.7769146729897294,2.270677030651473,3.4824794584955883,2.8237993857055783,2.5855734036646707,3.1358795595575084,4.432901300024753,2.6011764164113695,13.038211072001236,3.1542444818916215,3.450599827131946,2.6902836629913804,3.2454539916899385,2.860904623359002,2.758197591124422,29.97264866353827,2.6766820901620254,2.7051597907470475,3.085591368605578,2.9631714179138533,2.6450960288336822,8.80546819899245,2.4411149800223377,2.913492917081235,3.0182496207424494,2.4070095093207615,2.370708446017197,2.5342783480681073,2.640378717041098,2.1781042357011926,2.236298900854138,3.1457875426614996,3.2786253654032707,2.836224505174683,3.392119331349762,2.434250453631997,3.0981957039049894,2.391674102980462,3.182579247388072,4.142864768752846,2.4401087998880993,2.75314044499934,4.681232235381487,2.740153247017599,1.625841569568041,2.5380820249103966,2.3051765463767087,2.457641042463288,2.9125283001581765,2.686796204600936,6.598065041159563,5.995332298650544
White,15.0,3.528669433364287,12.442032007213642,4.261355118261933,19.341336423822064,5.4549420895436835,3.8445259638565656,2.992034379894244,4.8554310229219,3.8586582249451298,3.592115262316555,33.063126455233125,5.743943069937476,4.26196130026597,2.421356785349002,3.4174694880159984,32.773761012808016,7.0079429816443595,6.341944382020272,14.36825483974914,2.5752798794390435,10.076770240813802,79.32691976753149,3.9489221817562914,13.612862382896546,51.91478409994662,4.011340173932934,3.344497174454838,5.8056269325216565,2.6447836173835975,4.361831363664861,3.257397812105892,4.246639920692515,4.6301116456455915,26.500527206325184,5.518956105770013,2.5215676394497333,3.815911600690495,10.7823282538812,11.31198742239084,3.828449866788914,37.155917652135585,4.292013087961889,3.1324059782747535,2.815319169226018,2.3857804737882846,2.512666567880974,9.745882134701583,2.10710560891888,3.645487047027981,5.187981101190752,4.352181015766111,3.283757111147413,7.726585266965583,3.354408974861093,4.397350447137067,2.908535499307989,4.164687665996243,3.9518680269397746,3.240788884437725,12.19933690074335,5.24016043606767,4.313912825178667,3.5918768213689996,6.207151648341091,6.941976386819336,3.3853575967819527,3.506104039399328,20.382834358455305,3.1986764789101794,1.9892066492009264,13.031928250288676,3.394598813780134,2.9589097389238135,2.9066810503319087,2.5444953418355087,8.048499537162808,7.273280632674158
