Color,N2_blank,N2_WR,N2_B,N4_blank,N4_WR,N4_B,N6_blank,N6_WR,N6_B,N8_blank,N8_WR,N8_B,N10_blank,N10_WR,N10_B
Black,5.605263157894737,5.184210526315789,4.184210526315789,4.381578947368421,4.407894736842105,4.578947368421052,4.105263157894737,3.8421052631578942,4.328947368421052,3.276315789473684,3.4473684210526314,4.2368421052631575,3.4210526315789473,3.25,4.131578947368421
Blue,220.8684210526316,252.3421052631579,120.84210526315788,212.03947368421052,257.5657894736842,86.3157894736842,210.47368421052633,270.9868421052632,54.973684210526315,206.57894736842104,243.19736842105263,37.828947368421055,211.97368421052633,258.4342105263158,35.46052631578947
Green,343.4868421052632,411.0,287.69736842105266,331.0263157894737,398.4342105263158,233.6315789473684,312.75,393.10526315789474,177.56578947368422,319.2763157894737,396.25,149.1315789473684,327.89473684210526,407.85526315789474,124.11842105263158
Red,279.9605263157895,336.5657894736842,298.8421052631579,273.8421052631579,320.1578947368421,288.3157894736842,281.32894736842104,334.7631578947368,268.7236842105263,275.60526315789474,328.38157894736844,255.1052631578947,273.88157894736844,318.7236842105263,231.1447368421053
White,797.1315789473684,930.7368421052632,676.9605263157895,775.4473684210526,914.092105263158,586.6973684210526,765.3421052631579,932.1447368421052,483.4868421052632,764.6184210526316,911.1973684210526,428.5131578947368,774.2763157894736,925.2763157894736,379.44736842105266
