Color,N20_B,N60_B,N80_B,N40_B,N10_B,BG_0,N100_B
Black,4.223684210526316,4.092105263157895,4.197368421052632,4.131578947368421,4.131578947368421,5.333333333333333,4.0394736842105265
Blue,22.17105263157895,15.0,10.578947368421051,12.894736842105264,35.46052631578947,237.96052631578948,9.276315789473683
Green,79.52631578947368,42.21052631578947,16.13157894736842,37.921052631578945,124.11842105263158,370.9342105263158,14.460526315789474
Red,205.1184210526316,105.07894736842104,18.55263157894737,122.88157894736842,231.1447368421053,311.0921052631579,21.73684210526316
White,291.0657894736842,148.68421052631578,36.55263157894737,160.3815789473684,379.44736842105266,866.2105263157895,37.10526315789474
