Order,Color,N10_blank.csv,N10_NoR.csv,N4_blank.csv,N20_R.csv,N10_WR.csv,N2n_NoR.csv,N20_A.csv,N20_W.csv,N80_WR.csv,N100_blank.csv,N20_B.csv,N40_blank.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N40_R.csv,N80_R.csv,N60_W.csv,N2n_R.csv,N8_NoR.csv,N6_R.csv,N60_A.csv,N2_A.csv,N4_R.csv,N60_B.csv,N2_B.csv,N6_B.csv,N2n_blank.csv,N4_W.csv,N2n_B.csv,N4_A.csv,N80_B.csv,N100_WR.csv,N40_B.csv,N2n_WR.csv,N60_NoR.csv,N60_blank.csv,N2_R.csv,N40_W.csv,N20_WR.csv,N60_R.csv,N6_A.csv,N80_W.csv,N4_B.csv,N2n_W.csv,N6_W.csv,N80_A.csv,N40_A.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N80_blank.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N20_NoR.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,N80_NoR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,N60_WR.csv,BG_0.csv,N40_NoR.csv,N6_NoR.csv,N100_R.csv,N40_WR.csv,N20_blank.csv,N100_NoR.csv,N100_W.csv,N2_WR.csv,N100_A.csv,N100_B.csv
8,Black,3.25,3.5,4.0,4.25,3.5,5.25,4.25,4.25,4.75,4.75,4.0,4.75,5.75,6.25,3.5,4.5,4.5,4.5,5.75,3.5,3.75,3.75,4.5,4.0,4.25,4.25,4.75,5.0,4.25,4.5,5.0,4.25,4.0,4.0,4.75,4.5,4.25,4.0,4.25,4.25,4.0,4.0,4.75,4.75,5.0,4.25,4.5,4.25,4.0,3.75,3.5,4.25,5.0,4.25,3.75,4.0,3.75,4.25,4.25,3.0,4.0,5.0,5.75,3.25,3.0,4.25,5.0,4.5,4.0,4.5,4.5,4.5,4.25,3.75,5.5,3.75,4.0
8,Blue,211.75,241.0,212.0,20.5,259.5,263.0,15.25,229.75,253.25,215.25,23.0,191.25,221.0,288.25,207.75,10.25,13.25,216.25,161.0,263.75,84.5,23.5,134.75,121.5,14.0,122.5,55.0,210.0,284.25,147.0,89.0,9.75,240.75,12.5,245.25,283.5,205.25,162.25,268.75,212.5,16.25,92.25,221.75,85.5,269.25,299.5,12.5,9.0,37.75,271.0,193.75,30.25,215.25,41.75,35.25,271.0,209.25,228.5,272.0,61.75,260.75,225.0,236.5,240.75,41.5,209.0,236.75,263.75,272.75,9.25,213.75,207.25,235.25,283.25,251.25,10.0,9.25
8,Green,328.0,384.0,330.25,122.0,407.0,426.5,67.0,350.5,377.0,318.5,79.0,314.0,343.5,458.0,318.5,40.25,14.5,336.5,337.0,410.0,252.5,56.5,293.25,332.25,42.5,287.0,176.0,325.75,413.75,314.5,231.5,15.5,378.75,36.75,414.5,446.5,331.25,372.0,367.5,342.0,24.75,232.75,352.5,236.0,427.0,416.0,20.0,18.5,147.5,392.0,293.25,120.0,310.75,168.25,126.0,421.5,313.5,350.5,396.75,247.5,399.75,335.25,372.25,396.25,166.75,338.0,371.5,374.25,381.5,14.25,297.75,329.75,355.75,435.75,414.5,14.0,15.0
8,Red,274.5,315.5,273.25,282.5,320.5,330.5,212.25,321.25,321.75,277.0,205.25,281.0,280.5,370.25,277.5,200.5,34.5,310.75,304.0,340.5,314.5,110.75,312.75,320.75,105.5,299.0,268.75,271.25,332.0,299.25,291.25,18.5,323.75,124.5,323.25,360.5,284.25,331.25,327.0,317.0,98.75,260.0,302.0,289.25,333.25,338.0,40.25,108.5,253.75,333.75,308.0,238.0,283.0,272.25,231.25,340.5,281.75,324.5,327.0,315.75,319.5,300.5,310.75,329.25,278.0,328.75,310.5,324.25,336.0,22.5,312.25,274.5,315.5,343.0,335.25,24.5,21.25
8,White,774.75,889.75,773.75,413.5,923.75,940.0,278.5,842.75,896.0,768.75,291.75,740.5,797.0,956.5,763.25,246.75,56.75,817.0,765.75,938.0,628.0,168.25,712.0,743.5,147.25,677.75,484.5,769.5,946.5,724.5,590.25,36.5,888.25,160.75,922.75,953.25,775.0,822.5,910.25,821.75,138.75,567.5,830.25,586.0,942.75,949.5,60.0,126.75,431.75,933.25,760.0,375.0,763.0,468.0,380.0,941.75,763.75,851.5,932.25,609.0,915.75,814.25,866.25,913.5,475.25,826.5,867.75,896.5,932.0,39.0,777.75,766.75,851.0,949.0,931.0,39.5,36.25
9,Black,4.0,3.0,4.25,4.5,3.25,5.0,4.25,4.0,5.25,4.75,4.25,4.25,5.75,6.25,3.5,4.25,4.25,4.0,4.5,3.5,3.5,4.25,4.0,4.0,4.0,4.25,4.25,5.5,4.25,4.5,5.0,4.5,4.0,4.25,5.0,4.25,4.25,4.0,4.25,4.75,3.75,4.0,5.25,4.5,5.0,4.0,4.5,4.0,4.25,3.75,3.25,3.75,5.0,4.5,3.75,3.5,4.25,4.0,4.25,3.25,4.0,4.75,5.25,4.0,3.5,4.0,5.5,4.5,3.75,4.25,4.75,4.0,4.0,4.25,5.25,4.0,4.25
9,Blue,213.0,240.0,213.75,20.5,259.5,266.0,15.0,227.0,253.25,216.0,22.25,191.0,220.0,289.5,207.0,10.0,12.5,219.25,161.25,263.5,84.25,22.5,137.5,123.25,15.25,120.0,55.0,209.5,284.5,149.75,89.75,10.75,246.0,13.25,243.0,286.5,203.0,164.25,270.25,212.75,16.25,92.5,222.0,87.25,266.0,299.75,12.5,9.5,37.5,271.25,194.0,29.75,213.25,42.25,36.75,270.5,211.75,229.25,273.75,64.75,258.25,225.5,239.25,243.5,41.75,208.5,238.75,262.75,275.75,10.0,213.25,209.5,236.25,284.5,254.25,10.25,9.25
9,Green,325.75,380.75,334.5,120.0,406.25,431.25,67.5,351.5,374.75,316.25,78.25,308.25,340.5,456.75,319.25,40.25,15.75,336.5,334.25,412.25,250.5,55.0,295.75,330.75,42.0,285.75,176.75,325.25,413.75,312.25,229.75,15.5,377.75,37.75,414.25,444.75,328.5,367.5,366.5,341.75,26.0,232.0,352.75,235.5,427.75,413.0,19.25,19.5,150.25,393.5,299.0,120.25,310.5,169.0,124.25,419.75,311.75,354.75,397.75,246.0,397.75,333.5,372.5,397.75,166.75,336.5,372.25,373.5,384.75,13.75,298.0,329.5,352.5,434.5,410.75,13.75,15.0
9,Red,275.25,313.75,272.25,278.75,317.5,327.0,213.25,321.75,323.5,279.25,207.75,279.25,279.75,368.75,273.75,197.5,34.25,308.75,306.25,337.5,314.5,110.75,310.75,322.75,107.75,299.25,267.5,271.0,332.25,300.25,292.0,17.25,319.0,124.5,325.5,359.5,283.25,333.0,331.25,316.5,98.5,261.0,301.75,289.0,334.75,338.5,40.75,109.0,253.5,334.5,306.75,238.75,282.75,272.0,230.5,337.0,282.0,322.0,326.75,316.75,317.75,301.0,310.75,328.25,277.25,325.0,310.5,322.25,339.0,22.25,311.0,273.5,314.75,340.75,336.25,23.75,21.0
9,White,776.25,889.75,778.5,412.75,925.75,941.75,284.75,847.75,895.25,769.25,293.25,740.25,794.5,955.25,763.0,248.0,56.5,818.25,765.0,938.5,632.0,171.0,713.5,741.25,145.75,678.5,485.0,766.25,946.0,722.0,588.0,35.75,892.0,158.5,918.75,952.0,775.25,822.5,908.75,825.5,138.25,565.0,824.25,585.75,942.75,948.5,60.25,129.75,427.75,934.0,760.5,377.75,760.0,464.0,380.25,940.0,766.5,852.25,929.0,607.25,915.0,815.5,866.75,914.25,475.0,823.5,866.5,898.25,931.75,38.25,780.0,770.5,852.25,945.0,931.75,38.5,38.75
10,Black,3.5,3.25,4.75,4.0,3.25,4.75,4.5,4.5,5.0,4.5,4.25,4.25,6.0,5.75,3.75,4.0,4.25,4.25,5.0,3.25,3.75,3.5,4.25,4.25,4.25,4.25,4.75,5.5,4.0,4.5,4.5,4.25,4.0,4.0,4.75,4.5,4.25,4.5,4.25,4.25,4.25,4.0,4.75,4.5,5.0,4.0,4.5,4.25,4.0,3.5,3.25,4.5,5.25,4.0,4.5,3.5,4.0,4.0,4.5,3.25,4.25,4.25,5.0,3.75,3.25,4.0,5.75,4.5,4.0,4.25,4.25,5.0,4.0,4.0,5.25,3.75,4.0
10,Blue,213.25,243.5,213.0,21.25,258.25,266.0,14.5,227.0,254.5,213.0,22.0,188.5,222.5,293.25,208.0,10.75,13.25,217.75,160.75,263.5,83.5,23.25,136.5,122.5,15.0,120.25,54.25,209.25,285.75,147.25,90.5,10.5,244.0,12.25,245.0,288.25,202.0,163.75,270.75,212.75,16.0,95.75,220.5,86.75,269.5,298.0,11.75,10.0,38.25,270.5,191.25,29.5,213.5,43.0,35.75,270.5,212.0,227.25,272.25,61.75,259.25,223.5,235.0,242.5,42.5,209.25,238.25,263.5,275.5,10.5,215.5,206.25,236.0,284.0,251.0,10.25,9.0
10,Green,327.0,383.25,333.25,123.25,405.5,430.0,67.0,348.25,375.75,317.5,79.5,312.5,344.0,460.25,319.0,38.5,15.0,336.75,337.0,413.5,252.5,57.0,293.5,330.75,41.25,289.5,177.75,324.0,411.75,313.0,230.75,15.5,376.75,37.5,412.25,445.75,330.5,368.0,369.0,342.75,25.75,233.0,353.5,232.75,430.75,411.25,19.0,18.75,149.5,393.0,294.0,121.75,311.75,166.25,121.25,417.5,313.5,352.75,399.75,243.25,396.0,332.0,373.0,397.5,167.25,337.75,370.5,373.5,385.25,12.75,297.0,330.25,353.0,436.5,411.75,14.0,14.25
10,Red,275.25,315.75,273.25,278.25,317.0,328.25,211.75,320.25,320.0,279.75,206.25,277.75,278.5,368.0,275.25,201.5,36.75,310.5,304.5,336.0,315.75,110.25,312.0,321.75,103.75,299.25,270.0,270.25,332.5,299.75,290.25,19.0,319.75,123.0,323.25,358.0,282.5,330.75,331.0,314.5,98.5,263.25,301.75,287.0,334.25,335.5,38.75,107.75,256.25,332.25,310.25,239.0,281.25,271.75,230.25,337.75,280.75,323.75,328.75,318.25,321.5,301.0,312.25,325.0,277.25,326.75,310.0,322.0,338.0,21.5,310.25,272.5,316.5,341.5,335.5,23.5,22.75
10,White,773.0,889.0,772.0,410.75,929.0,942.5,282.0,844.0,893.75,770.5,294.25,743.75,796.25,958.0,764.25,246.0,55.0,819.5,761.25,940.25,630.0,174.75,708.0,744.5,148.0,675.75,482.75,767.0,945.0,725.0,588.5,36.75,885.0,159.5,917.5,952.25,775.75,821.75,910.75,825.75,138.0,564.25,826.75,586.25,943.75,948.5,60.25,130.75,430.0,930.25,764.25,374.75,765.25,468.0,381.0,940.75,764.5,851.0,930.0,611.75,914.75,816.0,867.5,908.0,471.5,824.0,868.5,900.5,925.75,38.5,775.5,766.0,851.0,949.0,930.0,38.0,35.5
11,Black,3.0,3.25,4.25,4.5,3.0,5.25,4.0,4.5,4.5,4.0,4.0,4.25,5.25,5.5,3.25,4.0,4.25,4.0,5.25,3.25,4.0,4.0,4.25,4.25,3.75,4.0,4.0,5.5,4.5,4.75,5.25,4.0,3.5,4.25,5.25,4.25,4.0,4.25,4.25,4.25,4.0,4.0,4.5,4.25,5.0,4.0,4.25,4.0,4.25,3.75,3.5,4.25,5.0,4.0,3.75,3.75,4.0,4.0,4.0,3.25,5.0,4.5,5.25,4.0,3.25,4.25,5.0,4.25,4.0,4.25,4.25,4.75,4.25,4.0,5.0,3.75,4.25
11,Blue,211.25,241.25,212.75,20.75,258.75,265.75,14.5,227.25,251.75,215.5,22.25,192.75,220.75,291.0,205.75,10.5,13.25,217.5,162.0,264.5,84.75,22.25,134.75,122.25,14.25,121.0,55.0,210.0,284.25,148.5,90.75,10.5,245.25,12.5,241.5,285.75,202.75,164.75,267.5,212.0,16.0,92.25,222.5,87.0,270.25,300.25,12.25,9.5,37.5,271.0,193.25,30.5,213.5,43.5,35.0,269.0,212.0,228.0,271.5,61.75,256.5,224.25,239.0,244.75,41.5,210.0,237.25,261.25,273.0,10.0,215.75,207.75,235.75,285.25,252.5,9.5,9.0
11,Green,326.75,382.25,331.0,120.5,411.75,431.0,67.0,343.0,374.75,317.0,78.75,311.5,345.25,457.75,316.5,40.0,16.0,335.5,334.5,412.0,254.75,56.75,296.75,332.0,42.25,286.0,177.0,327.75,415.75,312.75,231.0,16.5,378.75,37.25,414.5,447.5,330.25,368.25,367.75,345.0,25.75,233.0,350.75,233.25,423.75,414.25,19.0,19.0,148.75,393.0,294.25,121.25,311.5,167.75,126.5,421.0,314.75,351.5,395.25,245.0,398.75,333.75,369.5,393.75,168.5,340.0,371.25,377.0,384.0,13.5,298.5,330.25,355.75,435.5,410.0,14.0,14.75
11,Red,272.25,315.0,272.25,279.0,318.5,327.25,211.25,318.25,324.0,277.5,205.0,282.5,281.75,370.75,276.5,200.5,34.75,308.25,305.25,337.75,317.0,109.75,313.25,321.75,105.25,300.75,266.75,274.5,333.25,300.5,291.5,19.0,323.0,121.75,324.5,361.0,282.5,332.5,329.0,314.0,99.5,263.0,299.0,287.5,332.5,338.0,37.75,108.75,257.75,336.25,309.75,239.5,282.75,269.25,233.5,339.0,283.0,322.5,326.5,317.0,320.0,303.25,313.0,329.25,277.0,325.5,311.0,324.25,334.25,21.5,311.25,273.0,317.75,342.0,338.5,24.0,21.5
11,White,775.25,890.5,778.0,412.75,924.25,940.75,284.0,847.75,888.25,771.75,293.25,741.0,795.0,954.25,760.75,245.5,54.5,810.75,765.5,939.25,627.5,172.5,711.25,743.25,149.75,677.5,485.25,769.25,942.75,724.5,588.5,38.0,888.25,159.75,918.75,953.75,777.5,823.75,912.0,825.0,139.25,567.5,822.75,588.5,942.25,948.75,61.25,127.25,427.25,933.0,762.75,377.0,765.0,468.25,381.25,942.0,767.75,853.0,926.75,610.25,915.25,812.5,867.5,911.25,471.0,825.0,867.75,899.5,930.0,39.5,776.0,771.75,856.0,952.25,932.0,39.5,37.75
12,Black,3.5,3.5,4.5,4.75,3.25,5.0,4.0,4.5,4.5,4.5,3.75,4.5,5.25,5.75,3.0,4.25,4.5,4.25,4.5,3.25,3.25,4.25,4.0,4.0,4.25,4.0,4.5,4.75,4.75,4.5,4.75,3.75,4.0,4.0,4.5,4.25,4.75,4.0,4.0,4.5,3.75,4.0,5.0,4.25,4.75,3.75,4.75,3.75,4.0,3.75,3.5,4.5,4.75,4.25,4.25,3.5,4.25,4.25,4.5,3.5,4.25,4.5,5.75,3.25,3.25,4.0,5.25,4.5,3.75,4.0,4.5,4.5,4.5,4.0,5.0,4.25,4.25
12,Blue,211.5,238.0,211.5,20.75,260.0,262.0,15.0,230.5,254.5,214.75,21.25,192.0,221.0,292.0,206.25,10.25,12.5,216.75,162.25,263.25,85.0,22.25,136.75,122.25,15.25,120.0,56.0,208.25,287.0,148.25,92.0,12.0,242.5,13.5,243.0,283.5,204.5,165.75,269.75,209.75,16.0,93.0,220.75,85.25,271.0,297.0,12.75,10.0,37.25,273.25,191.75,29.75,214.25,43.5,36.25,271.0,211.75,228.25,273.0,61.0,254.75,225.5,237.5,242.75,40.5,209.0,237.25,263.5,274.5,10.0,217.25,206.5,239.75,286.75,250.0,10.0,9.5
12,Green,329.0,378.0,328.75,122.5,409.0,431.25,67.75,346.25,374.0,319.5,78.75,313.0,345.0,459.0,320.5,39.75,15.5,334.25,335.5,413.25,252.5,56.75,294.25,330.0,41.25,287.75,178.25,326.5,413.0,314.75,231.5,15.75,377.0,38.25,413.75,442.75,331.25,372.5,368.5,347.75,26.75,234.25,353.75,234.0,425.25,414.0,18.25,19.75,148.0,391.5,297.25,121.0,309.5,169.0,123.5,419.5,312.5,352.0,398.0,245.25,398.25,335.5,371.0,397.0,165.5,337.75,369.75,374.25,385.75,13.75,295.75,329.5,356.0,435.0,413.5,13.75,13.75
12,Red,273.75,316.0,275.0,279.75,320.0,329.75,209.25,321.75,321.0,280.0,202.75,279.0,281.25,368.75,273.25,197.75,36.0,309.5,303.75,334.75,313.25,110.0,313.75,320.0,105.0,300.0,269.75,273.0,334.0,300.25,292.0,18.5,320.0,123.0,327.0,361.0,282.75,327.75,331.25,316.5,98.75,261.0,300.75,288.0,335.5,335.0,38.75,111.25,254.25,333.25,309.0,241.5,281.5,270.75,231.5,339.0,281.5,321.75,328.5,317.25,320.5,300.75,312.0,328.25,276.25,326.25,310.5,324.25,336.0,22.25,310.0,272.5,315.75,343.0,337.0,24.0,21.5
12,White,770.75,887.25,772.5,410.5,926.0,942.75,281.5,847.5,894.0,771.75,289.5,743.0,800.75,957.25,765.75,247.75,54.75,816.5,760.0,937.5,630.25,170.75,711.5,744.25,147.25,676.25,483.5,766.0,943.25,724.25,588.75,36.0,890.0,158.0,921.25,954.0,778.25,823.25,912.75,827.5,138.25,562.75,824.75,585.5,944.5,948.5,60.75,128.25,430.25,930.25,761.5,374.0,765.5,462.25,377.25,943.25,768.25,847.75,930.75,608.75,914.5,814.75,864.75,911.75,474.5,825.75,865.25,899.0,929.75,39.25,778.5,766.0,855.25,950.5,928.25,38.75,37.25
13,Black,3.5,3.25,4.5,4.25,3.75,5.0,4.25,4.25,4.75,4.5,4.5,4.75,5.25,6.0,3.5,4.5,4.25,4.0,4.5,3.5,3.75,4.0,4.0,4.25,3.75,4.5,4.0,5.0,4.5,4.5,5.0,3.75,4.25,4.0,4.25,4.25,4.25,4.5,4.75,4.25,4.0,4.75,4.75,4.75,5.25,4.0,4.5,4.5,4.25,4.0,3.5,4.25,5.0,4.5,3.75,3.75,4.0,4.75,4.0,3.0,4.25,4.75,5.0,3.75,3.25,4.0,5.75,4.0,4.0,4.25,3.75,4.75,4.25,4.75,5.75,4.0,4.0
13,Blue,212.25,240.25,211.25,20.5,256.5,263.0,15.0,227.75,252.5,217.0,22.25,192.5,222.5,291.5,207.25,9.75,13.0,216.25,161.5,262.25,85.5,22.5,134.75,120.5,14.0,121.75,56.0,209.5,286.25,151.5,91.5,10.0,243.5,13.0,244.75,283.25,202.25,163.5,269.75,211.0,16.75,92.5,223.5,86.25,269.0,297.75,12.25,10.0,38.25,271.25,194.5,30.0,214.5,44.25,35.5,271.75,212.0,226.25,271.75,64.5,256.5,222.5,240.0,242.0,41.25,206.5,239.5,264.75,275.25,9.75,216.0,208.0,234.5,285.5,251.5,9.5,9.0
13,Green,325.5,381.5,331.5,120.25,406.75,429.0,66.75,347.0,373.75,317.25,79.0,310.25,344.5,455.5,318.5,38.5,15.0,334.75,336.5,411.25,255.75,57.0,296.25,333.25,43.0,290.25,175.5,327.75,416.75,312.25,232.5,16.0,378.0,38.5,413.5,443.25,329.5,370.75,367.25,342.0,25.25,231.5,353.5,232.5,425.25,415.0,19.0,20.0,148.25,393.75,295.25,121.0,311.0,170.0,125.5,418.0,312.25,352.25,398.0,243.5,397.75,335.5,371.5,396.75,165.0,340.25,372.75,373.75,385.5,13.5,298.75,329.75,353.75,433.75,412.75,14.25,15.0
13,Red,275.25,318.0,275.25,280.25,319.0,328.25,209.25,320.75,324.25,281.25,205.0,275.75,278.0,367.5,275.25,198.0,33.5,310.0,303.75,336.0,313.75,111.5,312.5,321.5,104.25,295.75,270.0,272.25,330.75,301.25,289.75,18.25,323.5,122.75,325.0,356.5,283.75,333.5,332.75,317.5,98.75,261.5,301.25,289.75,335.25,336.25,38.0,109.0,257.0,335.0,311.25,238.75,283.5,269.0,232.75,338.25,280.0,321.5,328.0,316.0,321.5,300.75,309.0,329.75,280.75,330.75,311.25,324.0,335.5,20.75,311.25,277.0,314.25,339.75,335.0,24.25,21.75
13,White,771.75,889.25,774.5,412.0,927.75,941.25,280.25,841.0,891.75,769.0,288.75,740.25,799.5,954.75,766.0,245.0,53.75,821.0,763.75,939.75,629.75,172.25,711.25,742.25,146.75,677.5,485.5,767.0,946.0,728.75,588.25,35.25,891.5,163.0,921.0,953.0,775.25,821.75,907.5,824.25,138.5,567.0,825.0,589.5,943.25,951.0,61.25,129.75,430.0,930.25,763.0,376.75,764.0,466.5,379.75,941.5,767.25,851.75,929.75,612.75,913.75,812.25,867.0,910.25,471.0,824.25,863.75,897.0,926.5,37.0,777.75,766.5,848.5,949.25,930.75,38.0,37.5
14,Black,3.0,3.5,4.75,4.25,3.25,4.75,3.75,4.25,4.75,4.5,4.25,4.25,5.5,5.75,3.0,4.25,4.25,4.25,4.75,3.0,3.5,4.0,4.25,4.25,3.5,4.0,4.5,4.75,4.0,4.75,5.0,4.25,4.0,4.0,4.75,4.5,4.0,4.0,4.5,4.25,4.5,4.25,4.75,5.25,5.0,4.5,4.5,4.0,3.75,4.0,3.25,3.75,5.5,4.5,4.0,3.75,4.25,4.25,4.75,3.25,4.5,4.25,5.0,3.25,3.5,4.0,5.25,4.0,4.25,4.0,4.75,4.75,4.25,4.0,5.0,4.0,4.25
14,Blue,211.5,240.5,212.25,21.25,257.5,265.0,14.75,226.75,253.75,215.25,23.0,192.0,221.0,291.25,206.75,10.5,12.5,218.5,159.5,263.25,83.5,23.5,135.75,122.75,14.0,122.25,53.5,207.5,286.75,150.0,89.25,10.75,243.5,13.5,243.25,283.0,205.5,166.75,270.25,210.5,15.25,93.5,222.25,87.25,270.75,299.75,11.75,9.75,37.0,268.75,192.25,29.0,214.25,44.25,35.25,269.25,212.0,225.5,270.0,63.0,260.0,224.25,236.75,243.0,41.5,207.25,236.75,261.25,273.0,9.75,215.5,207.5,235.25,283.75,252.5,9.5,9.25
14,Green,327.0,382.0,332.25,121.25,406.5,426.0,66.75,347.5,376.75,319.75,79.0,313.25,343.75,457.75,320.25,41.25,15.75,333.25,338.25,412.5,251.25,58.5,293.75,330.5,41.5,290.5,180.0,326.5,414.75,314.0,231.5,16.25,378.75,36.75,415.75,448.75,333.5,371.5,371.25,345.0,26.75,231.0,355.25,232.0,424.0,415.5,19.5,19.5,150.0,394.0,291.5,119.25,315.25,169.0,125.0,418.0,311.0,352.25,399.0,245.5,401.0,333.5,372.5,397.0,165.0,337.75,369.25,373.5,386.25,14.5,296.0,329.0,353.0,433.0,410.5,13.75,15.25
14,Red,273.5,315.25,275.75,281.75,318.5,327.0,210.75,321.5,320.75,279.75,206.75,278.25,280.25,371.5,275.75,199.0,33.75,308.75,304.0,335.25,316.25,112.25,312.5,320.75,103.5,299.0,268.5,270.5,332.0,301.5,290.75,17.75,322.5,123.5,323.25,359.0,283.75,331.25,331.75,313.5,97.5,262.25,299.5,290.0,334.5,338.25,38.75,107.5,258.25,332.0,305.5,239.25,282.5,268.25,230.75,337.75,282.0,323.25,327.25,316.5,319.25,299.25,311.0,328.25,278.25,327.5,310.25,325.5,337.5,21.25,310.25,272.5,317.75,342.75,336.0,24.5,21.5
14,White,776.5,890.0,775.5,411.5,926.75,940.5,281.75,843.25,895.25,774.5,291.0,743.5,796.0,957.0,765.5,246.5,54.75,816.25,766.25,936.5,629.75,172.5,708.5,739.0,149.25,673.5,483.0,764.0,947.0,724.75,591.0,37.0,890.75,160.25,924.25,951.25,778.75,827.25,907.75,824.0,138.5,565.25,826.0,585.5,943.75,948.0,59.75,128.75,429.75,930.5,762.75,375.25,765.75,467.25,379.0,938.25,765.25,852.0,925.75,611.25,912.25,817.0,866.0,910.25,473.0,823.0,865.0,902.5,928.75,37.25,779.75,769.25,853.0,947.0,930.0,39.25,36.75
15,Black,3.25,3.25,4.25,4.0,3.25,5.0,4.25,4.5,4.5,4.25,4.25,4.0,5.75,5.75,3.25,4.5,4.25,4.25,4.75,3.0,3.25,4.25,4.5,4.25,4.25,4.5,4.25,5.0,4.25,4.75,4.75,4.0,4.25,4.25,4.5,4.75,4.25,4.25,4.25,4.25,4.0,4.25,4.75,5.0,5.25,4.75,4.25,4.0,4.75,3.75,3.25,3.75,5.0,4.0,4.5,3.25,4.0,4.25,4.0,3.0,4.5,4.5,5.5,3.25,3.0,4.25,5.0,4.5,3.5,4.0,4.0,4.5,4.5,4.0,5.0,4.0,4.0
15,Blue,212.25,239.5,211.75,22.0,260.25,265.25,15.5,228.25,254.0,216.5,23.5,191.0,222.25,290.0,206.5,11.0,12.25,217.5,160.75,264.25,87.0,23.75,138.25,120.5,15.0,119.25,54.5,209.25,286.25,148.75,90.0,11.5,244.75,13.0,246.0,285.0,203.5,163.75,269.25,211.75,15.75,92.5,220.5,85.5,269.25,298.5,11.5,9.75,36.5,272.25,195.0,30.0,213.5,44.75,35.25,269.5,211.5,228.75,272.75,61.0,259.5,227.25,237.25,244.5,41.25,209.0,240.0,260.75,276.0,10.5,215.5,207.75,237.25,287.25,253.5,10.5,9.0
15,Green,328.25,382.0,330.5,120.0,407.25,428.25,68.0,345.75,375.0,318.25,79.0,309.75,343.5,457.75,320.5,38.75,15.0,333.5,337.75,412.25,248.25,58.0,293.75,331.75,42.0,288.0,176.75,325.75,414.0,313.0,232.25,16.25,375.5,38.0,414.75,446.75,332.5,368.25,366.75,344.25,26.0,233.25,355.0,230.25,423.5,411.25,20.0,20.0,146.5,394.0,297.5,120.5,311.5,168.25,124.0,420.25,311.5,352.0,394.5,247.25,395.75,334.5,370.5,396.0,168.0,338.0,370.0,372.75,384.0,13.75,299.0,329.25,353.5,436.5,411.75,14.0,14.75
15,Red,273.25,312.0,275.75,280.5,316.5,326.25,208.5,319.0,321.25,279.75,202.5,280.25,280.25,369.5,276.75,198.5,36.0,309.25,304.5,337.75,314.75,114.25,311.25,322.25,103.25,298.5,269.25,273.25,330.75,298.5,288.5,18.5,321.25,124.75,323.5,359.5,281.25,329.75,330.5,313.75,96.75,263.0,300.5,285.75,332.0,338.0,38.75,109.75,250.75,336.0,308.75,240.5,280.5,270.25,231.0,340.75,279.25,322.0,328.75,317.5,318.75,300.75,312.5,326.25,278.25,327.0,312.25,324.0,336.25,21.75,310.0,272.0,315.0,342.5,339.0,24.0,21.25
15,White,776.5,887.75,780.5,413.0,924.0,940.75,282.5,845.5,897.0,765.75,290.25,741.75,797.0,957.25,767.25,243.5,55.75,819.25,765.75,937.0,629.0,175.0,707.75,743.5,148.5,675.0,484.5,765.75,942.25,729.25,588.75,36.5,886.5,161.75,922.75,954.75,777.25,824.5,911.0,824.5,139.75,564.75,822.5,587.75,942.0,948.5,59.75,128.0,430.5,931.0,764.5,377.0,765.75,464.5,379.75,944.25,765.5,849.5,929.25,609.25,911.0,812.25,865.25,911.0,472.25,825.25,865.5,899.5,927.0,38.0,779.25,769.5,850.25,949.75,931.5,39.5,36.75
16,Black,3.5,3.75,4.0,4.25,3.5,4.75,4.5,4.25,4.25,4.5,4.0,4.25,5.75,5.5,3.5,4.0,4.0,4.25,5.0,3.5,3.5,3.75,4.25,4.25,4.25,4.0,4.0,5.75,4.5,4.75,5.0,4.0,4.5,4.25,5.0,4.0,4.25,4.5,4.25,4.25,4.0,4.25,4.5,4.5,4.5,4.0,4.25,4.0,4.25,4.0,3.25,4.5,5.25,4.25,4.5,3.75,3.75,4.5,4.5,3.25,4.75,4.5,5.25,3.25,3.25,4.25,5.25,4.25,3.5,4.5,4.75,4.5,4.0,4.5,5.0,4.25,3.25
