Color,N2_B,N6_B,N4_B,N8_B,N10_B,BG_0,Color,sd_N2_B.csv,sd_N6_B.csv,sd_N4_B.csv,sd_N8_B.csv,sd_N10_B.csv,sd_BG_0.csv
Black,4.184210526315789,4.328947368421052,4.578947368421052,4.2368421052631575,4.131578947368421,5.333333333333333,Black,0.4180207494007344,0.5051102514206951,0.5921629107496833,0.4373368987767633,0.5251142955557851,0.569918188075453
Blue,120.84210526315788,54.973684210526315,86.3157894736842,37.828947368421055,35.46052631578947,237.96052631578948,Blue,2.5568169466696853,1.954450565380241,1.555460247437332,1.216754650775786,1.6849090589078397,2.2705359175978863
Green,287.69736842105266,177.56578947368422,233.6315789473684,149.1315789473684,124.11842105263158,370.9342105263158,Green,3.113892003982364,2.6161633440599026,2.810102739733962,2.5256211548058904,4.2888545390376365,2.9244377287477814
Red,298.8421052631579,268.7236842105263,288.3157894736842,255.1052631578947,231.1447368421053,311.0921052631579,Red,2.7769146729897294,2.270677030651473,3.085591368605578,2.913492917081235,2.1781042357011926,2.75314044499934
White,676.9605263157895,483.4868421052632,586.6973684210526,428.5131578947368,379.44736842105266,866.2105263157895,White,4.011340173932934,3.344497174454838,2.815319169226018,3.645487047027981,4.397350447137067,3.506104039399328
