Color,Order,N10_blank,N10_NoR,N4_blank,N20_R,N10_WR,N2n_NoR,N20_A,N20_W,N80_WR,N100_blank,N20_B,N40_blank,N2_blank,N2_W,N8_blank,N40_R,N80_R,N60_W,N2n_R,N8_NoR,N6_R,N60_A,N2_A,N4_R,N60_B,N2_B,N6_B,N2n_blank,N4_W,N2n_B,N4_A,N80_B,N100_WR,N40_B,N2n_WR,N60_NoR,N60_blank,N2_R,N40_W,N20_WR,N60_R,N6_A,N80_W,N4_B,N2n_W,N6_W,N80_A,N40_A,N8_B,N6_WR,N10_W,N10_A,N80_blank,N8_A,N10_B,N8_W,N6_blank,N20_NoR,N4_NoR,N8_R,N4_WR,N80_NoR,BG_1,N8_WR,N10_R,N60_WR,BG_0,N40_NoR,N6_NoR,N100_R,N40_WR,N20_blank,N100_NoR,N100_W,N2_WR,N100_A,N100_B
Black,15.0,3.4210526315789473,3.3157894736842106,4.381578947368421,4.223684210526316,3.25,5.0,4.197368421052632,4.302631578947368,4.565789473684211,4.421052631578948,4.223684210526316,4.473684210526316,5.605263157894737,5.776315789473684,3.276315789473684,4.25,4.315789473684211,4.171052631578948,4.855263157894737,3.289473684210526,3.539473684210526,3.973684210526316,4.2631578947368425,4.276315789473684,4.092105263157895,4.184210526315789,4.328947368421052,5.197368421052632,4.328947368421052,4.644736842105263,4.9605263157894735,4.197368421052632,4.144736842105263,4.131578947368421,4.723684210526316,4.328947368421052,4.302631578947368,4.157894736842105,4.342105263157895,4.2894736842105265,4.065789473684211,4.2368421052631575,4.7105263157894735,4.578947368421052,5.078947368421052,4.026315789473684,4.421052631578948,4.118421052631579,4.2368421052631575,3.8421052631578947,3.3157894736842106,4.197368421052632,4.973684210526316,4.328947368421052,4.131578947368421,3.513157894736842,4.105263157894737,4.302631578947368,4.2894736842105265,3.1578947368421053,4.407894736842105,4.605263157894737,5.276315789473684,3.4473684210526314,3.25,4.184210526315789,5.333333333333333,4.368421052631579,3.723684210526316,4.078947368421052,4.355263157894737,4.618421052631579,4.197368421052632,4.144736842105263,5.184210526315789,4.0131578947368425,4.0394736842105265
Blue,15.0,211.97368421052633,240.18421052631578,212.03947368421052,20.855263157894736,258.4342105263158,264.36842105263156,14.973684210526315,227.96052631578948,253.51315789473685,214.89473684210526,22.17105263157895,191.01315789473685,220.8684210526316,290.75,206.57894736842104,10.394736842105264,12.789473684210526,217.80263157894737,160.5,264.36842105263156,84.67105263157895,22.736842105263158,136.14473684210526,122.64473684210526,15.0,120.84210526315789,54.973684210526315,209.53947368421052,286.30263157894734,148.53947368421052,90.42105263157895,10.578947368421053,243.6315789473684,12.894736842105264,244.22368421052633,284.4342105263158,203.8684210526316,163.89473684210526,269.69736842105266,211.92105263157896,15.93421052631579,93.17105263157895,221.60526315789474,86.3157894736842,269.60526315789474,298.0657894736842,12.263157894736842,9.671052631578947,37.828947368421055,270.9868421052632,193.3684210526316,29.81578947368421,214.22368421052633,43.25,35.46052631578947,270.35526315789474,210.47368421052633,227.4078947368421,272.2368421052632,62.526315789473685,257.5657894736842,224.51315789473685,237.68421052631578,243.19736842105263,41.61842105263158,207.81578947368422,237.96052631578948,262.5921052631579,274.9736842105263,10.105263157894736,215.43421052631578,207.48684210526315,235.85526315789474,284.36842105263156,252.3421052631579,10.197368421052632,9.276315789473685
Green,15.0,327.89473684210526,381.5,331.0263157894737,120.40789473684211,407.85526315789474,429.57894736842104,67.23684210526316,348.1578947368421,374.7105263157895,317.75,79.52631578947368,312.05263157894734,343.4868421052632,457.0921052631579,319.2763157894737,39.6578947368421,15.342105263157896,334.19736842105266,336.89473684210526,412.88157894736844,251.77631578947367,57.328947368421055,294.2763157894737,330.64473684210526,42.21052631578947,287.69736842105266,177.56578947368422,325.82894736842104,414.4736842105263,313.7894736842105,231.26315789473685,16.13157894736842,378.0263157894737,37.921052631578945,414.19736842105266,445.39473684210526,331.2368421052632,370.11842105263156,367.75,344.7105263157895,25.986842105263158,232.19736842105263,353.07894736842104,233.6315789473684,426.82894736842104,413.9605263157895,19.44736842105263,19.236842105263158,149.1315789473684,393.10526315789474,296.0,120.61842105263158,311.5,168.89473684210526,124.11842105263158,418.69736842105266,312.75,352.88157894736844,397.36842105263156,246.51315789473685,398.4342105263158,334.7105263157895,371.5,396.25,166.25,337.7894736842105,370.9342105263158,374.7105263157895,384.6578947368421,13.671052631578947,296.9605263157895,329.0657894736842,354.5,434.69736842105266,411.0,14.092105263157896,14.460526315789474
Red,15.0,273.88157894736844,315.10526315789474,273.8421052631579,279.63157894736844,318.7236842105263,328.0263157894737,210.77631578947367,320.92105263157896,322.17105263157896,279.64473684210526,205.1184210526316,279.44736842105266,279.9605263157895,369.1842105263158,275.60526315789474,199.48684210526315,34.69736842105263,309.67105263157896,304.4868421052632,336.07894736842104,315.2236842105263,112.44736842105263,312.6842105263158,321.0921052631579,105.07894736842105,298.8421052631579,268.7236842105263,272.14473684210526,331.86842105263156,299.67105263157896,290.55263157894734,18.55263157894737,321.85526315789474,122.88157894736842,324.3421052631579,359.60526315789474,283.0131578947368,331.17105263157896,330.5263157894737,315.05263157894734,98.21052631578948,261.2368421052632,301.1842105263158,288.3157894736842,333.57894736842104,337.86842105263156,39.36842105263158,108.75,255.10526315789474,334.7631578947368,308.9078947368421,238.81578947368422,283.11842105263156,270.5131578947368,231.14473684210526,338.4736842105263,281.32894736842104,322.1842105263158,327.3157894736842,317.42105263157896,320.1578947368421,301.5394736842105,311.36842105263156,328.38157894736844,278.2236842105263,326.88157894736844,311.0921052631579,323.7105263157895,336.6578947368421,21.82894736842105,311.38157894736844,273.2631578947368,315.14473684210526,342.07894736842104,336.5657894736842,23.94736842105263,21.736842105263158
White,15.0,774.2763157894736,888.5131578947369,775.4473684210526,411.3157894736842,925.2763157894736,941.3684210526316,282.39473684210526,844.8684210526316,893.5,770.7763157894736,291.0657894736842,742.3421052631579,797.1315789473684,955.7105263157895,764.6184210526316,245.39473684210526,55.31578947368421,816.6842105263158,764.3815789473684,939.0131578947369,630.1842105263158,172.18421052631578,711.1315789473684,742.0921052631579,148.68421052631578,676.9605263157895,483.4868421052632,766.75,943.921052631579,725.8026315789474,589.0921052631579,36.55263157894737,889.4736842105264,160.3815789473684,921.5657894736842,953.0921052631579,776.8421052631579,823.3026315789474,909.921052631579,825.4078947368421,137.8684210526316,565.75,826.2631578947369,586.6973684210526,943.0,948.2368421052631,60.89473684210526,128.9078947368421,428.5131578947368,932.1447368421053,763.3947368421053,376.44736842105266,764.4342105263158,466.42105263157896,379.44736842105266,942.2368421052631,765.3421052631579,850.5921052631579,929.3684210526316,609.6447368421053,914.0921052631579,814.2236842105264,866.2763157894736,911.1973684210526,471.5394736842105,825.2894736842105,866.2105263157895,898.6447368421053,929.1973684210526,38.28947368421053,778.2236842105264,768.1842105263158,852.7105263157895,949.7105263157895,930.7368421052631,38.96052631578947,37.10526315789474
