Color,N2_A,N2_B,N2_WR,N2_blank,N4_A,N4_B,N4_WR,N4_blank,N6_A,N6_B,N6_WR,N6_blank,N8_A,N8_B,N8_WR,N8_blank,N10_A,N10_B,N10_WR,N10_blank
Blue,158.13157894736844,166.8552631578948,158.6578947368421,122.61842105263159,140.8421052631579,147.31578947368422,140.86842105263156,118.98684210526318,139.02631578947367,122.5921052631579,122.11842105263156,102.27631578947367,125.64473684210526,111.30263157894736,153.05263157894737,112.69736842105266,90.80263157894737,88.65789473684211,149.42105263157896,115.92105263157893
Green,154.55263157894734,131.98684210526312,177.9078947368421,157.3421052631579,149.71052631578945,141.0,179.28947368421052,154.85526315789474,122.21052631578951,146.13157894736838,212.64473684210526,179.05263157894737,144.86842105263156,143.80263157894734,175.32894736842107,162.90789473684208,148.01315789473688,142.48684210526318,169.30263157894734,157.9605263157895
Red,553.0,510.1052631578947,772.0789473684212,674.5131578947369,448.25,439.3815789473684,773.2236842105265,656.4605263157894,426.72368421052636,360.89473684210526,810.0263157894736,663.0657894736843,340.7763157894737,317.2105263157895,758.1447368421052,651.921052631579,285.6447368421053,290.7894736842105,775.8552631578947,658.3552631578947
White,711.1315789473684,676.9605263157895,930.7368421052632,797.1315789473684,589.0921052631579,586.6973684210526,914.092105263158,775.4473684210526,565.75,483.4868421052632,932.1447368421052,765.3421052631579,466.42105263157896,428.5131578947368,911.1973684210526,764.6184210526316,376.44736842105266,379.44736842105266,925.2763157894736,774.2763157894736
