Concentrate,Blue,Green,Red,White
2,-5.166694310831018,25.811700318023835,33.930945158321705,27.266172811581093
4,-4.576872781617804,21.35623073535887,43.17535948268529,35.81638381482922
6,-0.3878892360737216,31.27900501206611,55.44654169780059,48.13178436825091
8,27.278198074277867,17.981238273921225,58.15963484267342,52.97252025241513
10,40.66572736879183,15.838967902385924,62.520139065547355,58.99091309850543
