Color,N10_B,N20_B,N40_B,N60_B,N80_B,N100_B
Black,0.22532894736842096,0.2080592105263157,0.22532894736842096,0.2327302631578947,0.21299342105263147,0.24259868421052622
Blue,0.8509814763616257,0.9068288636991981,0.945811445949682,0.936964335084324,0.955543267901576,0.9610174177495162
Green,0.6653896633677415,0.7856053350360044,0.8977687914582668,0.886204817140222,0.9565109432088255,0.9610159270689227
Red,0.2569893837499471,0.3406505096645942,0.6049993655627458,0.6622256058875777,0.9403628981093769,0.9301273104090005
White,0.561945558391056,0.663978004617815,0.8148468829748451,0.8283509539433711,0.9578016769959897,0.9571636893911776
