Color,N2_A,N2_B,N2_WR,N4_A,N4_B,N4_WR,N6_A,N6_B,N6_WR,N8_A,N8_B,N8_WR,N10_A,N10_B,N10_WR
Black,4.291666666666667,4.208333333333333,5.197916666666667,4.90625,4.59375,4.364583333333333,4.3125,4.229166666666667,3.9166666666666665,4.385416666666667,4.1875,3.4375,4.1875,4.114583333333333,3.25
Blue,136.09375,120.80208333333331,252.20833333333331,90.21875,86.38541666666667,257.2291666666667,55.07291666666666,93.14583333333331,271.0729166666667,43.1875,37.9375,243.23958333333331,29.67708333333333,35.364583333333336,258.5833333333333
Green,294.4270833333333,287.7604166666667,410.9479166666667,231.3125,233.66666666666663,398.2708333333333,177.61458333333334,232.36458333333331,392.84375,168.82291666666666,149.1875,396.125,120.38541666666669,124.02083333333331,407.9895833333333
Red,312.4479166666667,298.6458333333333,336.78125,290.5520833333333,288.21875,319.9166666666667,268.75,261.0625,334.7708333333333,270.4583333333333,255.04166666666663,328.4270833333333,238.59375,231.29166666666663,318.65625
White,711.125,676.75,930.7395833333334,589.0520833333334,586.6666666666666,914.1875,483.6145833333333,565.9791666666666,931.8020833333334,466.5208333333333,428.5520833333333,911.5625,376.3854166666667,379.53125,925.0625
