Color,N2_B,N6_B,N4_B,N8_B,N10_B,BG_0
Black,4.184210526315789,4.328947368421052,4.578947368421052,4.2368421052631575,4.131578947368421,1.0
Blue,120.84210526315788,54.973684210526315,86.3157894736842,37.828947368421055,35.46052631578947,1.0
Green,287.69736842105266,177.56578947368422,233.6315789473684,149.1315789473684,124.11842105263158,1.0
Red,298.8421052631579,268.7236842105263,288.3157894736842,255.1052631578947,231.1447368421053,1.0
White,676.9605263157895,483.4868421052632,586.6973684210526,428.5131578947368,379.44736842105266,1.0
