N10_blank.csv,N10_NoR.csv,N4_blank.csv,N10_WR.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N8_NoR.csv,N6_R.csv,N2_A.csv,N4_R.csv,N2_B.csv,N6_B.csv,N4_W.csv,N4_A.csv,N2_R.csv,N6_A.csv,N4_B.csv,N6_W.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,BG_0.csv,N6_NoR.csv,N2_WR.csv
326.25,381.75,331.0,410.0,341.0,453.25,319.5,415.5,252.5,294.25,328.75,289.5,178.25,416.25,230.0,373.75,232.75,235.25,416.0,148.25,392.5,300.0,119.25,169.75,125.5,419.0,312.5,397.25,246.75,396.25,372.0,395.25,165.5,372.25,380.25,411.5
274.5,318.25,273.75,317.5,281.0,368.75,276.25,334.75,316.0,314.75,322.75,297.0,269.5,330.0,289.5,331.75,259.75,289.5,336.25,254.25,336.0,308.25,240.25,272.25,231.75,336.5,281.0,324.0,317.75,318.75,314.0,328.0,276.75,312.75,336.25,336.75
777.5,887.25,772.5,922.0,795.0,955.25,767.5,938.75,631.75,709.5,738.0,677.75,483.5,944.75,591.75,823.0,565.25,585.25,949.5,426.5,932.5,765.75,377.0,468.75,379.25,941.25,763.0,929.25,607.0,916.5,867.25,912.5,471.5,868.75,928.25,927.5
3.5,3.5,4.25,3.0,5.5,6.0,3.0,3.0,3.25,4.25,4.25,4.5,4.0,4.25,4.75,4.0,4.5,4.75,4.25,4.25,4.0,3.5,4.0,4.5,4.5,3.25,4.25,4.5,3.0,4.5,5.5,3.5,3.25,5.5,3.5,5.5
211.5,238.5,211.25,259.25,222.5,291.25,206.25,266.75,85.25,137.25,123.0,121.0,54.75,286.5,90.5,164.5,94.25,85.25,296.0,38.0,270.25,194.25,29.5,43.75,36.5,271.25,209.25,270.0,62.0,258.0,237.25,244.25,41.5,237.25,275.75,254.5
328.75,383.0,330.75,409.0,343.0,457.0,317.25,413.75,250.25,294.5,330.75,287.25,176.75,413.5,230.75,371.25,232.75,234.5,414.5,149.5,394.75,298.5,123.75,168.0,124.25,417.0,313.5,396.75,248.5,400.0,369.0,398.75,164.5,369.5,383.75,410.5
272.25,315.75,276.0,315.5,282.25,370.0,273.25,335.0,317.0,314.25,319.0,300.0,267.75,330.0,291.75,332.5,262.0,287.25,336.75,255.5,334.75,311.75,234.75,270.5,231.0,337.75,282.25,326.75,317.25,321.0,307.5,328.25,278.75,309.75,337.5,337.5
775.5,885.75,777.25,923.25,800.0,957.25,766.75,942.0,633.25,711.5,743.75,677.5,484.75,943.5,586.25,824.75,565.25,585.75,947.5,430.25,933.5,764.0,379.5,469.0,379.5,941.25,766.25,931.0,608.25,916.0,866.25,910.5,466.25,868.75,928.5,930.0
3.0,3.5,4.25,3.5,6.0,5.5,3.25,3.25,3.25,4.25,4.5,4.0,4.5,4.0,5.0,4.25,4.5,4.0,4.0,4.5,3.5,3.75,4.0,4.25,4.0,3.0,4.0,4.25,3.25,4.25,5.0,3.5,3.25,5.333333333333333,3.75,5.25
212.75,242.25,209.5,259.25,220.75,291.75,207.5,266.5,85.25,136.75,122.75,120.5,55.75,287.25,91.0,163.25,93.0,87.0,299.25,37.75,272.25,192.25,29.25,44.5,36.5,270.0,210.25,273.5,62.75,258.0,239.25,242.25,42.0,237.75,274.5,250.0
327.75,382.25,331.25,408.0,344.5,457.0,322.5,411.75,251.75,291.25,330.5,289.0,179.0,414.25,231.0,365.25,234.75,232.5,412.75,148.75,393.75,296.75,122.0,170.75,123.0,417.75,310.75,398.25,246.25,399.25,371.25,396.75,168.25,372.75,383.5,410.5
274.75,315.5,273.25,320.0,280.25,368.5,277.75,334.75,314.0,313.0,322.0,299.0,269.25,330.75,289.75,329.5,261.75,289.75,336.75,255.25,334.75,310.0,238.25,268.75,231.5,336.5,282.0,325.0,314.75,323.25,311.75,330.0,279.25,311.25,335.0,334.75
772.0,888.25,776.5,926.25,795.5,956.25,763.0,941.25,630.75,711.0,741.25,673.25,480.75,942.75,589.0,823.25,566.0,588.75,947.25,428.25,932.25,766.25,374.25,463.75,378.75,944.25,764.75,930.0,608.25,917.0,865.75,909.5,469.25,865.5,928.75,930.5
