N10_blank.csv,N10_NoR.csv,N4_blank.csv,N10_WR.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N8_NoR.csv,N6_R.csv,N2_A.csv,N4_R.csv,N2_B.csv,N6_B.csv,N4_W.csv,N4_A.csv,N2_R.csv,N6_A.csv,N4_B.csv,N6_W.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,BG_0.csv,N6_NoR.csv,N2_WR.csv
3.5,3.25,4.75,3.25,6.0,5.75,3.75,3.25,3.75,4.25,4.25,4.25,4.75,4.0,4.5,4.5,4.0,4.5,4.0,4.0,3.5,3.25,4.5,4.0,4.5,3.5,4.0,4.5,3.25,4.25,5.0,3.75,3.25,5.75,4.0,5.25
213.25,243.5,213.0,258.25,222.5,293.25,208.0,263.5,83.5,136.5,122.5,120.25,54.25,285.75,90.5,163.75,95.75,86.75,298.0,38.25,270.5,191.25,29.5,43.0,35.75,270.5,212.0,272.25,61.75,259.25,235.0,242.5,42.5,238.25,275.5,251.0
327.0,383.25,333.25,405.5,344.0,460.25,319.0,413.5,252.5,293.5,330.75,289.5,177.75,411.75,230.75,368.0,233.0,232.75,411.25,149.5,393.0,294.0,121.75,166.25,121.25,417.5,313.5,399.75,243.25,396.0,373.0,397.5,167.25,370.5,385.25,411.75
275.25,315.75,273.25,317.0,278.5,368.0,275.25,336.0,315.75,312.0,321.75,299.25,270.0,332.5,290.25,330.75,263.25,287.0,335.5,256.25,332.25,310.25,239.0,271.75,230.25,337.75,280.75,328.75,318.25,321.5,312.25,325.0,277.25,310.0,338.0,335.5
773.0,889.0,772.0,929.0,796.25,958.0,764.25,940.25,630.0,708.0,744.5,675.75,482.75,945.0,588.5,821.75,564.25,586.25,948.5,430.0,930.25,764.25,374.75,468.0,381.0,940.75,764.5,930.0,611.75,914.75,867.5,908.0,471.5,868.5,925.75,930.0
3.0,3.25,4.25,3.0,5.25,5.5,3.25,3.25,4.0,4.25,4.25,4.0,4.0,4.5,5.25,4.25,4.0,4.25,4.0,4.25,3.75,3.5,4.25,4.0,3.75,3.75,4.0,4.0,3.25,5.0,5.25,4.0,3.25,5.0,4.0,5.0
211.25,241.25,212.75,258.75,220.75,291.0,205.75,264.5,84.75,134.75,122.25,121.0,55.0,284.25,90.75,164.75,92.25,87.0,300.25,37.5,271.0,193.25,30.5,43.5,35.0,269.0,212.0,271.5,61.75,256.5,239.0,244.75,41.5,237.25,273.0,252.5
326.75,382.25,331.0,411.75,345.25,457.75,316.5,412.0,254.75,296.75,332.0,286.0,177.0,415.75,231.0,368.25,233.0,233.25,414.25,148.75,393.0,294.25,121.25,167.75,126.5,421.0,314.75,395.25,245.0,398.75,369.5,393.75,168.5,371.25,384.0,410.0
272.25,315.0,272.25,318.5,281.75,370.75,276.5,337.75,317.0,313.25,321.75,300.75,266.75,333.25,291.5,332.5,263.0,287.5,338.0,257.75,336.25,309.75,239.5,269.25,233.5,339.0,283.0,326.5,317.0,320.0,313.0,329.25,277.0,311.0,334.25,338.5
775.25,890.5,778.0,924.25,795.0,954.25,760.75,939.25,627.5,711.25,743.25,677.5,485.25,942.75,588.5,823.75,567.5,588.5,948.75,427.25,933.0,762.75,377.0,468.25,381.25,942.0,767.75,926.75,610.25,915.25,867.5,911.25,471.0,867.75,930.0,932.0
3.5,3.5,4.5,3.25,5.25,5.75,3.0,3.25,3.25,4.0,4.0,4.0,4.5,4.75,4.75,4.0,4.0,4.25,3.75,4.0,3.75,3.5,4.5,4.25,4.25,3.5,4.25,4.5,3.5,4.25,5.75,3.25,3.25,5.25,3.75,5.0
211.5,238.0,211.5,260.0,221.0,292.0,206.25,263.25,85.0,136.75,122.25,120.0,56.0,287.0,92.0,165.75,93.0,85.25,297.0,37.25,273.25,191.75,29.75,43.5,36.25,271.0,211.75,273.0,61.0,254.75,237.5,242.75,40.5,237.25,274.5,250.0
329.0,378.0,328.75,409.0,345.0,459.0,320.5,413.25,252.5,294.25,330.0,287.75,178.25,413.0,231.5,372.5,234.25,234.0,414.0,148.0,391.5,297.25,121.0,169.0,123.5,419.5,312.5,398.0,245.25,398.25,371.0,397.0,165.5,369.75,385.75,413.5
