Color,N2_B,N4_B,N6_B,N8_B,N10_B
Black,0.21546052631578944,0.14144736842105265,0.18832236842105265,0.2055921052631579,0.22532894736842096
Blue,0.4921758363284491,0.6372684545203207,0.7689798175283384,0.8410284766380979,0.8509814763616257
Green,0.22439785747224283,0.37015359511900964,0.5213011244723493,0.5979567947217197,0.6653896633677415
Red,0.03937740557458867,0.07321405912955213,0.13619253055872785,0.1799687010954618,0.2569893837499471
White,0.21848037428606149,0.3226850164053956,0.44183679669461656,0.5053013731923685,0.561945558391056
