ปริมาณไนโตรเจน (มิลลิกรัมต่อกิโลกรัม),ร้อยละการสะท้อนแสงสีน้ำเงิน (%),SD
2,94.7615,0.22
4,94.7268,0.21
6,94.6963,0.22
8,94.675,0.23
10,94.6606,0.22
