ปริมาณฟอสเฟต (มิลลิกรัมต่อกิโลกรัม),ร้อยละการสะท้อนแสงสีเขียว (%),SD
2.0,95.3795,0.15
4.0,95.3614,0.15
6.0,95.3319,0.15
8.0,95.2938,0.15
10.0,95.258,0.15
